experiment,seed,rep,overlap,conflict_fraction,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,edge_a,edge_b,detectable_rank_a,detectable_rank_b,spectral_interference,signed_task_inner,conflict_score
merge_conflict,41,0,0.0,0.0,8,0.0015858443588395521,0.0016282313764121599,0.08123085093625865,0.08077543822987557,0.001607037867625856,0.08100314458306711,0.07939610671544126,0.08084177050264788,0.8335631759690375,0.8225254230563959,6,6,1.40470391321768e-10,-0.0009394596252824824,0.0009394596252824824
merge_conflict,41,1,0.0,0.0,8,0.0015996920953938202,0.0016168363339002171,0.08215953616944167,0.08262480921223367,0.0016082642146470188,0.08239217269083768,0.08078390847619066,0.0822019563179035,0.808135951805661,0.8065162086881604,6,6,1.0775880673006404e-10,-0.0007456324453343104,0.0007456324453343104
merge_conflict,41,2,0.0,0.0,8,0.0015944090914989859,0.0016007850023018527,0.08060495504762252,0.08197277942697778,0.0015975970469004194,0.08128886723730015,0.07969127019039973,0.08125289003671968,0.8087351556997491,0.8208315419067269,6,6,1.3125917363876125e-10,0.0006648172056213966,0.0
merge_conflict,41,3,0.0,0.0,8,0.001634097749461023,0.0015878741893222395,0.0817390335442245,0.0798669563335809,0.0016109859693916313,0.0808029949389027,0.07919200896951106,0.08061767469729234,0.8183167784395348,0.8260851787464503,6,6,1.3018763376099602e-10,-0.001542766506990681,0.001542766506990681
merge_conflict,41,4,0.0,0.0,8,0.0016140820911813864,0.0016087707631779612,0.08095749273599283,0.08070864977961617,0.0016114264271796738,0.0808330712578045,0.07922164483062483,0.08105945152774634,0.8203458171206351,0.8348081141639029,6,6,2.7259542332045113e-10,0.0011040886486417358,0.0
merge_conflict,41,5,0.0,0.0,8,0.0015909327024103612,0.0015914285916200973,0.08143422378669704,0.08021180605660148,0.0015911806470152294,0.08082301492164926,0.07923183427463402,0.08096936119342411,0.8157939841607763,0.797624845355321,6,6,3.2967466782553186e-11,0.001342048254776401,0.0
merge_conflict,41,6,0.0,0.0,8,0.001627014919005491,0.001592851271594963,0.0824385063229019,0.08157619189318577,0.001609933095300227,0.08200734910804383,0.08039741601274361,0.08187353046830242,0.8225024151707496,0.8126180804424559,6,6,2.361113861832364e-10,-0.0005257088906643293,0.0005257088906643293
merge_conflict,41,7,0.0,0.0,8,0.0015921272651705626,0.001599813289302468,0.08150884807387167,0.08043738034805918,0.0015959702772365154,0.08097311421096542,0.07937714393372891,0.08090557837113346,0.8104594631291209,0.8079704583178392,6,6,1.9404196164084484e-10,-4.7857892906235705e-05,4.7857892906235705e-05
merge_conflict,41,0,0.0,0.25,8,0.0015989993561331252,0.001565139260218423,0.08095321947156842,0.08013319026706961,0.0015820693081757741,0.08054320486931901,0.07896113556114324,0.08061359436909471,0.813121893967732,0.8009017876227102,6,6,5.794837229883749e-11,0.0005126188977034587,0.0
merge_conflict,41,1,0.0,0.25,8,0.0016311356841446107,0.0016141824070919502,0.08183515165788617,0.08067336739547654,0.0016226590456182805,0.08125425952668136,0.07963160048106308,0.08110702438507972,0.8135062294210427,0.821663733445946,6,6,2.683952267144099e-10,-0.00021048142569115243,0.00021048142569115243
merge_conflict,41,2,0.0,0.25,8,0.0016402579639703844,0.0015971236208079129,0.08211330287674043,0.08175363257380279,0.0016186907923891485,0.0819334677252716,0.08031477693288246,0.08182143231093847,0.8233231527443077,0.8040089893464872,6,6,1.0410788543417992e-10,-0.0011943682129207812,0.0011943682129207812
merge_conflict,41,3,0.0,0.25,8,0.0016106036450729464,0.0015854968156501924,0.08159797525373984,0.08177533804166733,0.0015980502303615694,0.08168665664770358,0.08008860641734201,0.08154254622095969,0.8204335779505929,0.8124873325143804,6,6,1.4063660515544064e-10,-0.0013858707028253491,0.0013858707028253491
merge_conflict,41,4,0.0,0.25,8,0.0016159999931085122,0.0015912251626482154,0.08057672927227538,0.08142202464562566,0.0016036125778783638,0.08099937695895051,0.07939576438107215,0.0812015798465682,0.8125258277541252,0.8204746494120098,6,6,2.1231137155162383e-10,0.001399526407757924,0.0
merge_conflict,41,5,0.0,0.25,8,0.0016206787071878857,0.001625539692252392,0.0810087071194414,0.08118882255388046,0.0016231091997201388,0.08109876483666092,0.07947565563694078,0.08094407633162809,0.8049569207346635,0.8175733105059034,6,6,2.3550965361798666e-10,-0.0011715045628368922,0.0011715045628368922
merge_conflict,41,6,0.0,0.25,8,0.0015860295849871794,0.0015864599500227628,0.08169328581649685,0.08140544979493723,0.0015862447675049711,0.08154936780571703,0.07996312303821206,0.08136592867500522,0.8018149726919508,0.8142552883463812,6,6,1.0330735469328365e-10,-0.0010988891913305326,0.0010988891913305326
merge_conflict,41,7,0.0,0.25,8,0.0016064830014926427,0.0015723965580984722,0.08075173239959747,0.08116868413528582,0.0015894397797955573,0.08096020826744164,0.07937076848764608,0.08098227640230407,0.8074088640039976,0.8095663470145225,6,6,1.1593451626349874e-10,0.00024240261558370363,0.0
merge_conflict,41,0,0.0,0.5,8,0.001579582087144073,0.0015870874291357368,0.08214295339626437,0.08077936711177176,0.0015833347581399048,0.08146116025401806,0.07987782549587816,0.0815733343098401,0.8129033700859831,0.8184572702198324,6,6,8.880604075156161e-11,0.00019798396493963177,0.0
merge_conflict,41,1,0.0,0.5,8,0.0015930097298025576,0.0016110447810837598,0.08120120290551512,0.08167960183675912,0.0016020272554431586,0.08144040237113712,0.07983837511569396,0.08162397735468016,0.8130773921616388,0.8204371130743814,6,6,1.3631278784941673e-10,0.0008599635985715142,0.0
merge_conflict,41,2,0.0,0.5,8,0.0015791766296822582,0.001589045414271068,0.08233106390538761,0.08089824973549778,0.0015841110219766631,0.0816146568204427,0.08003054579846602,0.08146940346411319,0.8098251583345029,0.8311285219392801,6,6,2.0092601232491197e-10,-0.0011055411359150512,0.0011055411359150512
merge_conflict,41,3,0.0,0.5,8,0.0015999266107497871,0.001623983327089685,0.08087334206350766,0.08149659252771671,0.0016119549689197362,0.08118496729561218,0.07957301232669245,0.08098884560029973,0.8204162993009709,0.7995348147693341,6,6,1.63521010844821e-10,-0.0019290674632278819,0.0019290674632278819
merge_conflict,41,4,0.0,0.5,8,0.0015750941627938823,0.001600512810157114,0.08173992280559327,0.08065699080762874,0.0015878034864754982,0.081198456806611,0.0796106533201355,0.08112879731562503,0.8102100469559692,0.8115992095219379,6,6,2.6641427690980264e-10,-0.00037208437036816513,0.00037208437036816513
merge_conflict,41,5,0.0,0.5,8,0.0015842869322611418,0.00164118777746465,0.08238326989731232,0.0817472987160871,0.001612737354862896,0.08206528430669971,0.08045254695183682,0.08195922252995429,0.8177393688596943,0.8170919689718219,6,6,1.741102727605947e-10,-0.0009580799586561996,0.0009580799586561996
merge_conflict,41,6,0.0,0.5,8,0.0016008554548422804,0.0015739338680821452,0.0815776013663654,0.0815239822994567,0.001587394661462213,0.08155079183291106,0.07996339717144885,0.08145404879821369,0.8264216565495398,0.8136661478165416,6,6,1.119875863576084e-10,5.504077807286197e-05,0.0
merge_conflict,41,7,0.0,0.5,8,0.0015998732171439278,0.0016124062420047524,0.0821561878396229,0.0806551494960238,0.00160613972957434,0.08140566866782335,0.07979952893824901,0.08149259530183424,0.8206812174697762,0.8239371899477927,6,6,1.0434885754457513e-10,0.00029032452874841957,0.0
merge_conflict,41,0,0.0,0.75,8,0.0015935090390039612,0.0015849051067051902,0.08241033800527446,0.08115786674491907,0.0015892070728545757,0.08178410237509676,0.08019489530224218,0.08177860850519295,0.8157423810228692,0.8068190399677005,6,6,1.397126455793122e-10,0.00011063718512450957,0.0
merge_conflict,41,1,0.0,0.75,8,0.0016078277349719017,0.0015957510116545526,0.08113092176290171,0.0802272026422321,0.0016017893733132273,0.0806790622025669,0.07907727282925367,0.08073110942346115,0.825401243792447,0.8214055023252158,6,6,1.656342443077948e-10,0.0010445225663464357,0.0
