source_release_id,source_archive_sha256,analysis_plan_sha256,analysis_plan_version,protocol_version,scaling_mode,analysis_role,n_independent_runs,mean_loss_delta,exact_sign_flip_p_two_sided,run_wins_loss,task_wins_loss,associative_recall_mean_loss_delta,modular_mean_loss_delta,mean_accuracy_delta
transformer_publication_20260622T101458Z,b1deb63807b04a4cd1032a7152d9664ff4b47929dd68ce99afc4317d500482e3,89c74a8d3e773cd20950bf2a9854bcdf39cd6f0a38a8eed78ca0d3345c85be6d,transformer_publication_plan_v1,synthetic_transformer_publication_protocol_v4,fixed_update_scale,confirmatory_primary,10,0.014638354179882719,0.240234375,3,0,0.009500840749838261,0.019775867609927177,-0.003923605949490422
transformer_publication_20260622T101458Z,b1deb63807b04a4cd1032a7152d9664ff4b47929dd68ce99afc4317d500482e3,89c74a8d3e773cd20950bf2a9854bcdf39cd6f0a38a8eed78ca0d3345c85be6d,transformer_publication_plan_v1,synthetic_transformer_publication_protocol_v4,standard,exploratory_scaling_sensitivity,10,-0.0340452545074423,0.197265625,6,2,-0.0293002077868247,-0.0387903012280599,0.01465151995534166
transformer_publication_20260622T101458Z,b1deb63807b04a4cd1032a7152d9664ff4b47929dd68ce99afc4317d500482e3,89c74a8d3e773cd20950bf2a9854bcdf39cd6f0a38a8eed78ca0d3345c85be6d,transformer_publication_plan_v1,synthetic_transformer_publication_protocol_v4,rslora,exploratory_scaling_sensitivity,10,0.011346261899074728,0.4609375,3,1,-0.00043899502440279957,0.02313151882255226,-0.00032867103494624034
