suite_id,suite_role,candidate_strategy,reference_strategy,n_independent_runs,n_nonzero_deltas,mean_loss_delta,median_loss_delta,sd_loss_delta,sem_loss_delta,t_ci_low,t_ci_high,bootstrap_ci_low,bootstrap_ci_high,exact_sign_flip_p_two_sided,wins,ties,losses,planned_no_tie_min_two_sided_p,attainable_min_two_sided_p,exact_test_resolution_sufficient,distinct_assignment_runs,identical_assignment_runs,confidence,bootstrap_resamples,bootstrap_seed,bootstrap_seed_scheme,holm_p_within_suite
attnproj,boundary,eva_activation,uniform_r4,3,3,0.0061686883370081587,0.0061384141445159912,9.9581196000848372e-05,5.7493230317314692e-05,0.0059213149326412503,0.0064160617413750671,0.006087757647037062,0.0062798932194714219,0.25,0,0,3,0.25,0.25,False,3,0,0.94999999999999996,10000,1852358460814396684,sha256(plan_sha256|label)_first8_mod_2^63_v1,1
attnproj,boundary,fim_gradient_variance,uniform_r4,3,3,0.033893634875615287,0.033923059701919556,0.0028357384189615607,0.001637214339538821,0.026849270128413618,0.04093799962281696,0.031043298542499098,0.036714546382427216,0.25,0,0,3,0.25,0.25,False,3,0,0.94999999999999996,10000,3831945004498935828,sha256(plan_sha256|label)_first8_mod_2^63_v1,1
attnproj,boundary,gora_sensitivity,uniform_r4,3,3,0.021121191481749218,0.021062888205051866,0.00068194591408152628,0.00039372165706773462,0.019427143919205248,0.022815239044293188,0.020470269024372101,0.021830417215823683,0.25,0,0,3,0.25,0.25,False,3,0,0.94999999999999996,10000,6544574448306016642,sha256(plan_sha256|label)_first8_mod_2^63_v1,1
attnproj,boundary,gradient_norm,uniform_r4,3,3,0.024944156408309937,0.024460144340991974,0.0014455852789299151,0.00083460904992674681,0.021353123501369014,0.028535189315250859,0.023802682757377625,0.026569642126560211,0.25,0,0,3,0.25,0.25,False,3,0,0.94999999999999996,10000,2104941973153410715,sha256(plan_sha256|label)_first8_mod_2^63_v1,1
attnproj,boundary,spectral_effective,uniform_r4,3,3,0.0010871663689611861,0.0010582655668258667,0.00022968707589907683,0.00013260989509971001,0.00051659204181862903,0.0016577406961037432,0.00087329745292663574,0.0013299360871310562,0.25,0,0,3,0.25,0.25,False,3,0,0.94999999999999996,10000,746021064136305799,sha256(plan_sha256|label)_first8_mod_2^63_v1,1
cattn_cfc,primary,eva_activation,uniform_r4,8,8,-0.004610210657119973,-0.0045219734311106041,0.00046409234586067559,0.00016408142242742811,-0.0049982015678277101,-0.004222219746412236,-0.004911478608846831,-0.0043154774233701045,0.0078125,8,0,0,0.0078125,0.0078125,True,8,0,0.94999999999999996,10000,4106477321710111036,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625
cattn_cfc,primary,fim_gradient_variance,uniform_r4,8,8,0.041326118633150832,0.041080430150031821,0.0046463432481333323,0.0016427304092377043,0.037441678468638419,0.045210558797663246,0.038527966663241001,0.044461200945079216,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.94999999999999996,10000,8160882562261091238,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625
cattn_cfc,primary,gora_sensitivity,uniform_r4,8,8,0.0026825712993739925,0.0024785846471784279,0.0007522545818383344,0.00026596215799826845,0.0020536707305653353,0.0033114718681826498,0.0021926444023847025,0.0031771240755915642,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.94999999999999996,10000,2347351627168734987,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625
cattn_cfc,primary,gradient_norm,uniform_r4,8,8,0.027467417530715299,0.027824878692626731,0.0017768643443323412,0.00062821641356299344,0.025981921763955602,0.028952913297474996,0.026199771440587823,0.028475072537548673,0.0078125,0,0,8,0.0078125,0.0078125,True,8,0,0.94999999999999996,10000,7849222070117023680,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625
cattn_cfc,primary,spectral_effective,uniform_r4,8,8,-0.0070257661864162602,-0.0065667368471622467,0.0018486940617279059,0.00065361205369355202,-0.0085713130997133978,-0.0054802192731191225,-0.0083426544442773976,-0.0060258745914326742,0.0078125,8,0,0,0.0078125,0.0078125,True,8,0,0.94999999999999996,10000,1192965711861412371,sha256(plan_sha256|label)_first8_mod_2^63_v1,0.0390625
