experiment,subset,outcome,model,predictors,n,k,ols_r2,adj_r2,rmse,aic,spearman_first_predictor,abs_spearman_first_predictor
lora_rank,all,excess_val_loss,intruder_energy,intruder_energy,105,2,0.9999578193356689,0.999957409814656,0.9757254538048014,-1.1605461889479889,0.5504997077407041,0.5504997077407041
lora_rank,all,excess_val_loss,adapter_frobenius,adapter_frobenius,105,2,0.9013339375334548,0.9003760145968864,47.19052677816921,813.3805654050443,-0.520599212108646,0.520599212108646
lora_rank,all,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",105,3,0.0689136893308181,0.05065709500397142,144.9659138421015,1051.0647139452728,,
lora_rank,all,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",105,3,0.05732010851783642,0.038836189077009586,145.8656556484541,1052.364066573752,,
lora_rank,all,excess_val_loss,intruder_count,intruder_count,105,2,0.03702744757902621,0.02767819949726913,147.4272895769347,1052.6003714658434,0.5358492301284332,0.5358492301284332
lora_rank,all,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,105,2,0.029838311963982234,0.02041926644906944,147.976580407582,1053.381344358226,-0.605722579307485,0.605722579307485
lora_rank,all,excess_val_loss,rank,log2_rank,105,2,0.02942709652408715,0.020004058626262755,148.00793796822538,1053.4258405217136,-0.1610369703464101,0.1610369703464101
lora_rank,all,excess_val_loss,alpha,log2_alpha,105,2,0.027893011993748718,0.018455080071357877,148.12486222850166,1053.5916721750643,-0.41770971211107333,0.41770971211107333
lora_rank,all,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,105,2,0.025364966187635396,0.015902490131204594,148.31734273710757,1053.8643790421065,-0.520599212108646,0.520599212108646
lora_rank,all,excess_val_loss,adapter_detectable,adapter_detectable_rank,105,2,0.0160347867964018,0.006481726474036775,149.02557262843845,1054.864763115533,-0.6735339249298788,0.6735339249298788
lora_rank,all,excess_val_loss,adapter_effective_rank,adapter_effective_rank,105,2,0.015357562196998242,0.005797926878522541,149.0768480306959,1054.9370056324265,-0.682942885506351,0.682942885506351
lora_rank,all,excess_val_loss,adapter_stable_rank,adapter_stable_rank,105,2,0.014454739098058722,0.0048863385067777765,149.14517698917834,1055.0332364962028,-0.725112612038624,0.725112612038624
lora_rank,all,excess_val_loss,gradient_detectable,gradient_detectable_rank,105,2,0.0042367872897084435,-0.005430816717187481,149.91633819632779,1056.1162525595344,-0.0019996741537232233,0.0019996741537232233
lora_rank,nondiverged,excess_val_loss,intruder_energy,intruder_energy,105,2,0.9999578193356689,0.999957409814656,0.9757254538048014,-1.1605461889479889,0.5504997077407041,0.5504997077407041
lora_rank,nondiverged,excess_val_loss,adapter_frobenius,adapter_frobenius,105,2,0.9013339375334548,0.9003760145968864,47.19052677816921,813.3805654050443,-0.520599212108646,0.520599212108646
lora_rank,nondiverged,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",105,3,0.0689136893308181,0.05065709500397142,144.9659138421015,1051.0647139452728,,
lora_rank,nondiverged,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",105,3,0.05732010851783642,0.038836189077009586,145.8656556484541,1052.364066573752,,
lora_rank,nondiverged,excess_val_loss,intruder_count,intruder_count,105,2,0.03702744757902621,0.02767819949726913,147.4272895769347,1052.6003714658434,0.5358492301284332,0.5358492301284332
lora_rank,nondiverged,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,105,2,0.029838311963982234,0.02041926644906944,147.976580407582,1053.381344358226,-0.605722579307485,0.605722579307485
lora_rank,nondiverged,excess_val_loss,rank,log2_rank,105,2,0.02942709652408715,0.020004058626262755,148.00793796822538,1053.4258405217136,-0.1610369703464101,0.1610369703464101
lora_rank,nondiverged,excess_val_loss,alpha,log2_alpha,105,2,0.027893011993748718,0.018455080071357877,148.12486222850166,1053.5916721750643,-0.41770971211107333,0.41770971211107333
lora_rank,nondiverged,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,105,2,0.025364966187635396,0.015902490131204594,148.31734273710757,1053.8643790421065,-0.520599212108646,0.520599212108646
lora_rank,nondiverged,excess_val_loss,adapter_detectable,adapter_detectable_rank,105,2,0.0160347867964018,0.006481726474036775,149.02557262843845,1054.864763115533,-0.6735339249298788,0.6735339249298788
lora_rank,nondiverged,excess_val_loss,adapter_effective_rank,adapter_effective_rank,105,2,0.015357562196998242,0.005797926878522541,149.0768480306959,1054.9370056324265,-0.682942885506351,0.682942885506351
lora_rank,nondiverged,excess_val_loss,adapter_stable_rank,adapter_stable_rank,105,2,0.014454739098058722,0.0048863385067777765,149.14517698917834,1055.0332364962028,-0.725112612038624,0.725112612038624
lora_rank,nondiverged,excess_val_loss,gradient_detectable,gradient_detectable_rank,105,2,0.0042367872897084435,-0.005430816717187481,149.91633819632779,1056.1162525595344,-0.0019996741537232233,0.0019996741537232233
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,intruder_energy,intruder_energy,99,2,0.9860479275707772,0.9859040917725378,0.1876201718419115,-327.32047302857325,0.4161784322686,0.4161784322686
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_frobenius,adapter_frobenius,99,2,0.27708804431971346,0.26963534374568987,1.3505257587624273,63.49780557874357,-0.814186765615337,0.814186765615337
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,99,2,0.04250123886998958,0.03263011762122647,1.5542800716331633,91.32046747263902,-0.5558688930117501,0.5558688930117501
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,intruder_count,intruder_count,99,2,0.03813671352303205,0.028220597167599393,1.5578184479511081,91.77070952534692,0.41124015096852073,0.41124015096852073
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",99,3,0.055400227871997165,0.03572106595266378,1.5437752947114176,91.97771948666117,,
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,rank,log2_rank,99,2,0.031162131129918835,0.02117411186321705,1.5634562076374536,92.48597989083457,-0.04333241931778651,0.04333241931778651
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_detectable,adapter_detectable_rank,99,2,0.023588483988497888,0.013522385885286536,1.5695552748227228,93.25687832829003,-0.6387393109908854,0.6387393109908854
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_effective_rank,adapter_effective_rank,99,2,0.02322561534908163,0.013155776332061775,1.5698468985244571,93.29366335290372,-0.6465387957322057,0.6465387957322057
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,adapter_stable_rank,adapter_stable_rank,99,2,0.023215959567825073,0.013146021006668618,1.5698546577680634,93.29464200020921,-0.7153538364628848,0.7153538364628848
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",99,3,0.04033906869133541,0.020346132622404922,1.5560339762362903,93.54377170679878,,
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,gradient_detectable,gradient_detectable_rank,99,2,0.006319974000661421,-0.003924149978713265,1.583373778052973,94.99245887099889,0.034763462495888055,0.034763462495888055
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,alpha,log2_alpha,99,2,0.0056929239691131395,-0.004557664443576304,1.5838732839143281,95.05491194739818,-0.6506959696665848,0.6506959696665848
lora_rank,nondiverged_drop_top5pct_outcome,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,99,2,0.005674272450621909,-0.004576508245763389,1.5838881392361992,95.05676900248383,-0.814186765615337,0.814186765615337
