experiment,seed,layer,rank,alpha,alpha_rule,true_k_strong,spike_peak,spike_decay,weak_factor,task_spikes,lr,steps,steps_completed,diverged,base_val_loss,oracle_val_loss,final_train_loss,final_val_loss,forgetting_loss,adapter_edge,adapter_detectable_rank,gradient_edge,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,gradient_frobenius,gradient_nuclear,gradient_top_sv,gradient_left_overlap_true,gradient_right_overlap_true,gradient_mean_overlap_true,gradient_null_method,gradient_null_quantile,adapter_frobenius,adapter_nuclear,adapter_stable_rank,adapter_effective_rank,adapter_top_sv,adapter_left_overlap_true,adapter_right_overlap_true,adapter_mean_overlap_true,intruder_count,intruder_energy,detectable_signal_energy,detectable_adapter_rank
layerwise_hard_knee,81,0,1,1.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.004136671268395791,0.004460650908632907,0.043069574298540976,0.4082560039399808,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.248629198994351,2.2486291989943528,0.9999999999998022,0.9999999999991979,2.248629198994351,0.18549408049047375,0.15689460538090813,0.17119434293569094,0,0.0,5.056333274569977,1
layerwise_hard_knee,81,0,2,2.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.004559839417149472,0.004951830489183521,0.041613989790172785,0.41351868027072014,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.1775734215484435,2.177811834212453,1.0000000119881713,1.0000002306466522,2.177573408495652,0.2767411467507896,0.17801765184583807,0.22737939929831383,0,0.0,4.741825949387373,1
layerwise_hard_knee,81,0,4,4.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.0033202509267705573,0.0034966952331463045,0.046626467946392545,0.4415590587331017,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.4311480340432734,2.431756154508962,1.0000000219615979,1.0000004312148276,2.4311480073471206,0.4101440196099535,0.1816036233584999,0.2958738214842267,0,0.0,5.910480633627875,1
layerwise_hard_knee,81,0,8,8.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.0032018337168934707,0.0033566075869403997,0.04726387083436661,0.4490559547757199,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.465521875237665,2.467148072186934,1.0000000930724484,1.0000017122114992,2.465521760501391,0.5594998863007411,0.17760707713329094,0.368553481717016,0,0.0,6.078797551505879,1
layerwise_hard_knee,81,0,16,16.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.0032334382690550334,0.0033907282091916497,0.04709601042833317,0.44592959705392093,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.455513745056944,2.458515478182035,1.0000001782736327,1.0000032469349787,2.4555135261800918,0.6388200843523972,0.2051416510345836,0.4219808676934904,0,0.0,6.029546677253386,1
layerwise_hard_knee,81,0,32,32.0,proportional,1,2.5386053167432476,0.16592597107028942,0.052732496640800756,2.66669;0.113603;0.101353;0.0852015;0.0682543;0.0599763;0.0506425;0.04427,0.2,900,900,False,0.0537224229687055,0.0025131304891135805,0.003180411166005513,0.0033293111161044435,0.04740216494816065,0.4444449195220933,1,0.01459243683427665,1,1.008258976981338,1.072212643405423,0.0619923951582495,0.09706320901433363,0.06173797314491034,0.9165030226863131,0.4999808023325409,0.708241912509427,permute,0.995,2.4715140260479767,2.4768490626464046,1.0000003391398185,1.0000060786578873,2.4715136069534718,0.7223978515599815,0.2334123120483799,0.4779050818041807,0,0.0,6.10837950935616,1
layerwise_hard_knee,81,1,1,1.0,proportional,4,2.85419399626721,0.17844932996178972,0.03310795437508113,2.93477;2.40483;2.04336;1.59759;0.0488431;0.039021;0.0309243;0.0265194,0.2,900,900,False,0.1430506609180924,0.0025121141416497178,0.0861672116780592,0.08507870079472322,0.052604754151753315,0.44394891776184026,1,0.023681745098436312,4,1.5145712290285542,2.7355933038877116,0.10358594694377257,0.21436389736170094,0.0841697406944561,0.7783607044399623,0.4158873592227905,0.5971240318313764,permute,0.995,2.402959608523638,2.40295960852364,0.9999999999998268,0.9999999999991731,2.402959608523638,0.17482541492207046,0.1661218256775578,0.1704736202998141,0,0.0,5.774214880196077,1
layerwise_hard_knee,81,1,2,2.0,proportional,4,2.85419399626721,0.17844932996178972,0.03310795437508113,2.93477;2.40483;2.04336;1.59759;0.0488431;0.039021;0.0309243;0.0265194,0.2,900,900,False,0.1430506609180924,0.0025121141416497178,0.06498769524496255,0.06643216794242605,0.06101698725340807,0.4677164460611923,2,0.023681745098436312,4,1.5145712290285542,2.7355933038877116,0.10358594694377257,0.21436389736170094,0.0841697406944561,0.7783607044399623,0.4158873592227905,0.5971240318313764,permute,0.995,2.5692393620871323,3.165496240940318,1.0779492570236793,1.2963856543208436,2.474602277267742,0.2760020902271922,0.2388094811906005,0.25740578570889633,0,0.0,6.600990899697897,2
layerwise_hard_knee,81,1,4,4.0,proportional,4,2.85419399626721,0.17844932996178972,0.03310795437508113,2.93477;2.40483;2.04336;1.59759;0.0488431;0.039021;0.0309243;0.0265194,0.2,900,900,False,0.1430506609180924,0.0025121141416497178,0.02553447486785444,0.028244028490312843,0.08693496898884183,0.55063757895883,3,0.023681745098436312,4,1.5145712290285542,2.7355933038877116,0.10358594694377257,0.21436389736170094,0.0841697406944561,0.7783607044399623,0.4158873592227905,0.5971240318313764,permute,0.995,3.0867067878656194,5.301203396888538,1.4956718269056963,2.43559812845465,2.5239295037260154,0.515668384628082,0.444420489908507,0.4800444372682945,0,0.0,9.39833257409437,3
layerwise_hard_knee,81,1,8,8.0,proportional,4,2.85419399626721,0.17844932996178972,0.03310795437508113,2.93477;2.40483;2.04336;1.59759;0.0488431;0.039021;0.0309243;0.0265194,0.2,900,900,False,0.1430506609180924,0.0025121141416497178,0.02450836369387965,0.02748185396903538,0.08992539364968104,0.5669182958622113,3,0.023681745098436312,4,1.5145712290285542,2.7355933038877116,0.10358594694377257,0.21436389736170094,0.0841697406944561,0.7783607044399623,0.4158873592227905,0.5971240318313764,permute,0.995,3.17175824801883,5.466614696020804,1.524838501375844,2.450261056415965,2.5685507636058067,0.6117856042045458,0.4500695888271599,0.5309275965158529,0,0.0,9.875572571209497,3
