rule,n,wins,mean_loss_delta,median_loss_delta,mean_acc_delta
soft_dimension,24,19,-0.14245575222594192,-0.0344548784196374,0.037516276041666664
gradient_norm,24,19,-0.1059654402730909,-0.0345061550906393,0.039591471354166664
marginal_gain_soft,24,19,-0.07272865767542194,-0.024485902715241502,0.025960286458333332
effective_rank,24,18,-0.010707863775072218,-0.013981326657813,0.004150390625
marginal_gain_edge,24,15,0.03859874213352061,-0.00185964836418865,-0.003662109375
uniform,24,1,5.437291018799442,4.446143060922623,-0.3258870442708333
