layer,target_estimand,target_estimand_version,target_reference,target_denominator,target_valid,target_status,n_rank_points,n_finite_rank_points,rank_grid,base_val_loss,best_rank,best_val_loss,best_observed_val_loss,observed_best_gap,improvement_gap,improvement_gap_reference,oracle_val_loss,oracle_improvement_gap,near_best_rank_gap_0.02,near_best_loss_threshold_gap_0.02,near_best_rank_gap_0.05,near_best_loss_threshold_gap_0.05,near_best_rank_gap_0.1,near_best_loss_threshold_gap_0.1,near_best_rank_gap_0.2,near_best_loss_threshold_gap_0.2,recovery_rank_0.5,recovery_loss_threshold_0.5,recovery_rank_0.7,recovery_loss_threshold_0.7,recovery_rank_0.8,recovery_loss_threshold_0.8,recovery_rank_0.9,recovery_loss_threshold_0.9,recovery_rank_0.95,recovery_loss_threshold_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,true_k_strong,gradient_matrix_mode,gradient_detectable_rank,predicted_rank_detectable,gradient_effective_rank,predicted_rank_effective,gradient_stable_rank,predicted_rank_stable,raw_gradient_detectable_rank,predicted_rank_raw_detectable,raw_gradient_effective_rank,predicted_rank_raw_effective,raw_gradient_stable_rank,predicted_rank_raw_stable,whitened_gradient_detectable_rank,predicted_rank_whitened_detectable,whitened_gradient_effective_rank,predicted_rank_whitened_effective,whitened_gradient_stable_rank,predicted_rank_whitened_stable,predicted_rank_from_gradient,source_run_id,source_run_path,condition,seed
10,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.0537303011126012,32,0.0044078108857554,0.0044078108857554,0.0493224902268458,0.0493224902268458,best_observed_validation_loss_on_tested_rank_grid,0.0025129646727588,0.0512173364398424,2,0.0053942606902923,1,0.0068739353970976,1,0.0093400599084399,1,0.0142723089311245,1,0.0290690559991783,1,0.0192045579538091,1,0.0142723089311245,1,0.0093400599084399,1,0.0068739353970976,4,2,2,2,2,1,activation_whitened,1,1,1.239957483886874,2,1.0304426231428097,2,1,1,1.1050486200210266,2,1.0136877256335628,2,1,1,1.239957483886874,2,1.0304426231428097,2,1,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
11,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1755584374807861,32,0.0303236684516488,0.0303236684516488,0.1452347690291373,0.1452347690291373,best_observed_validation_loss_on_tested_rank_grid,0.0025162566021325,0.1730421808786535,32,0.0332283638322315,16,0.0375854069031056,16,0.0448471453545625,4,0.0593706222574762,2,0.1029410529662174,2,0.07389409916039,4,0.0593706222574762,16,0.0448471453545625,16,0.0375854069031056,32,16,16,16,8,6,activation_whitened,6,8,4.835323953422774,8,2.612011907379564,4,3,4,3.148309836395124,4,1.6010096175828152,2,6,8,4.835323953422774,8,2.612011907379564,4,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
12,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1660128292746479,32,0.0031765237967915,0.0031765237967915,0.1628363054778563,0.1628363054778563,best_observed_validation_loss_on_tested_rank_grid,0.0025053813623776,0.1635074479122703,2,0.0064332499063486,2,0.0113183390706843,2,0.0194601543445771,2,0.0357437848923627,1,0.0845946765357197,2,0.0520274154401484,2,0.0357437848923627,2,0.0194601543445771,2,0.0113183390706843,4,4,2,2,2,2,activation_whitened,2,2,2.045640186515525,4,1.8080386066471368,2,2,2,1.8231307161795096,2,1.3789660359192562,2,2,2,2.045640186515525,4,1.8080386066471368,2,2,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
13,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1165244859134612,32,0.0085920762738404,0.0085920762738404,0.1079324096396208,0.1079324096396208,best_observed_validation_loss_on_tested_rank_grid,0.0024925225592173,0.1140319633542439,8,0.0107507244666328,8,0.0139886967558214,8,0.0193853172378024,4,0.0301785582017645,2,0.0625582810936508,2,0.0409717991657266,4,0.0301785582017645,8,0.0193853172378024,8,0.0139886967558214,8,8,8,8,8,3,activation_whitened,3,4,3.072648306198209,4,2.286390780073262,4,3,4,2.3673708855264937,4,1.4690602846857157,2,3,4,3.072648306198209,4,2.286390780073262,4,4,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
14,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.0892471909952541,32,0.0054245637814134,0.0054245637814134,0.0838226272138407,0.0838226272138407,best_observed_validation_loss_on_tested_rank_grid,0.0025007154623529,0.0867464755329012,16,0.0071010163256902,2,0.0096156951421054,2,0.0138068265027974,2,0.0221890892241815,1,0.0473358773883337,2,0.0305713519455656,2,0.0221890892241815,2,0.0138068265027974,2,0.0096156951421054,8,8,2,2,2,2,activation_whitened,2,2,2.041129712745426,4,1.6255415606238734,2,2,2,1.881067166209881,2,1.4209282911695136,2,2,2,2.041129712745426,4,1.6255415606238734,2,2,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
15,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1917479921217144,32,0.011710195508115,0.011710195508115,0.1800377966135994,0.1800377966135994,best_observed_validation_loss_on_tested_rank_grid,0.0025053747834235,0.1892426173382909,32,0.0153109514403869,16,0.0207120853387949,16,0.0297139751694749,4,0.0477177548308348,2,0.1017290938149147,4,0.0657215344921948,4,0.0477177548308348,16,0.0297139751694749,16,0.0207120853387949,32,16,16,16,4,4,activation_whitened,4,4,3.8357785613811775,4,2.473016276123398,4,4,4,2.665848836265354,4,1.4770745846128517,2,4,4,3.8357785613811775,4,2.473016276123398,4,4,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
16,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.3051959737632273,32,0.0301220715787545,0.0301220715787545,0.2750739021844728,0.2750739021844728,best_observed_validation_loss_on_tested_rank_grid,0.0025083751608481,0.3026875986023792,32,0.0356235496224439,32,0.0438757666879781,16,0.0576294617972017,8,0.085136852015649,4,0.1676590226709909,8,0.1126442422340963,8,0.085136852015649,16,0.0576294617972018,32,0.0438757666879781,32,32,32,16,8,8,activation_whitened,8,8,7.326321507720767,8,4.118502368019256,8,4,4,5.072236820422408,8,2.3481645928710067,4,8,8,7.326321507720767,8,4.118502368019256,8,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
17,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.1071997128397712,32,0.0033761033181632,0.0033761033181632,0.103823609521608,0.103823609521608,best_observed_validation_loss_on_tested_rank_grid,0.0024877865055614,0.1047119263342098,1,0.0054525755085953,1,0.0085672837942436,1,0.013758464270324,1,0.0241408252224848,1,0.0552879080789672,1,0.0345231861746456,1,0.0241408252224847,1,0.0137584642703239,1,0.0085672837942435,2,2,2,1,1,1,activation_whitened,1,1,1.0835899255755053,2,1.0091721253911057,2,1,1,1.0599991923169234,2,1.0071812973140482,2,1,1,1.0835899255755053,2,1.0091721253911057,2,1,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
18,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2394126166879578,32,0.0035357263017658,0.0035357263017658,0.235876890386192,0.235876890386192,best_observed_validation_loss_on_tested_rank_grid,0.0024907521382516,0.2369218645497062,2,0.0082532641094896,2,0.0153295708210754,2,0.027123415340385,2,0.0507111043790042,1,0.1214741714948618,2,0.0742987934176234,2,0.0507111043790041,2,0.0271234153403849,2,0.0153295708210754,2,2,2,2,2,2,activation_whitened,2,2,1.973158256158412,2,1.5336511344736783,2,2,2,1.6795919972666231,2,1.255016340537501,2,2,2,1.973158256158412,2,1.5336511344736783,2,2,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
19,observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,True,ok,6,6,1;2;4;8;16;32,0.2568169647216369,32,0.0336701569423357,0.0336701569423357,0.2231468077793011,0.2231468077793011,best_observed_validation_loss_on_tested_rank_grid,0.0025064044883145,0.2543105602333224,32,0.0381330930979217,16,0.0448274973313007,8,0.0559848377202658,4,0.0782995184981959,4,0.1452435608319863,4,0.100614199276126,4,0.0782995184981959,8,0.0559848377202658,16,0.0448274973313007,32,16,16,16,8,8,activation_whitened,8,8,6.968709346189796,8,4.341117548339255,8,4,4,5.374143572558586,8,2.6319224126676155,4,8,8,6.968709346189796,8,4.341117548339255,8,8,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
