target_estimand,target_estimand_version,target_reference,target_denominator,analysis_plan_version,analysis_pair_role,target_transform,predictor_transform,target,target_role,predictor,n,r2_log2_target,spearman,rmse_log2,source_run_id,source_run_path,condition,seed
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.9,useful_rank,gradient_detectable_rank,48,0.8571820453028349,0.9048737193290204,0.4796181884783583,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.95,useful_rank,gradient_detectable_rank,48,0.8698850903523032,0.9230320185936748,0.5351948396399403,20260622_141352_stage4_hard_s101,source_runs/20260622_141352_stage4_hard_s101,hard_knee,101
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.02,useful_rank,gradient_detectable_rank,48,0.6649030481467321,0.7780868475275915,0.8479753588313386,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.05,useful_rank,gradient_detectable_rank,48,0.7596878072792772,0.8214622137915465,0.6637562454104105,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,primary_pair,log2(rank),log2(1+s),near_best_rank_gap_0.1,useful_rank,gradient_effective_rank,48,0.8262975401762911,0.8534586334995709,0.50330516313953,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.2,useful_rank,gradient_effective_rank,48,0.8035492655559984,0.8469049046653586,0.4095319327336244,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.05,useful_rank,gradient_detectable_rank,48,0.6852893887183547,0.7796572950055137,0.8250113046406774,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.1,useful_rank,gradient_detectable_rank,48,0.7175861261755798,0.7939129471124754,0.7057950794012121,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.15,useful_rank,gradient_detectable_rank,48,0.7520624795258972,0.8060539215815573,0.6168591592853937,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.2,useful_rank,gradient_effective_rank,48,0.7232642954170303,0.7935530690915613,0.6121652282045849,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.3,useful_rank,gradient_effective_rank,48,0.7029650284178993,0.7874311231404861,0.5859332423264324,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.5,useful_rank,gradient_stable_rank,48,0.7433720918962918,0.8673891668595901,0.3335749646321532,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.7,useful_rank,gradient_effective_rank,48,0.7988135735548691,0.8480955666317047,0.3700250535026013,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.8,useful_rank,gradient_effective_rank,48,0.8035492655559984,0.8469049046653586,0.4095319327336244,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.9,useful_rank,gradient_effective_rank,48,0.8262975401762911,0.8534586334995709,0.50330516313953,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),recovery_rank_0.95,useful_rank,gradient_detectable_rank,48,0.7596878072792772,0.8214622137915465,0.6637562454104105,20260622_141700_stage4_hard_s103,source_runs/20260622_141700_stage4_hard_s103,hard_knee,103
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.02,useful_rank,true_k_strong,48,0.5472509541588841,0.7316311070964371,0.8465554620063842,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.05,useful_rank,true_k_strong,48,0.7290651559696901,0.8227530995330303,0.6284868502702275,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.1,useful_rank,predicted_rank_detectable,48,0.7194808730395894,0.8728584560473706,0.5155453449224977,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),near_best_rank_gap_0.2,useful_rank,gradient_effective_rank,48,0.7718104284029548,0.8456177059901292,0.3895256328074026,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,stage4_confirmatory_v1,secondary_or_exploratory,log2(rank),log2(1+s),penalized_rank_lambda_0.05,useful_rank,true_k_strong,48,0.6482357881034706,0.7377184675351917,0.7229163356512871,20260622_142008_stage4_hard_s107,source_runs/20260622_142008_stage4_hard_s107,hard_knee,107
