target_estimand,target_estimand_version,target_reference,target_denominator,condition,target,predictor,n_runs,mean_r2,sem_r2,mean_spearman,sem_spearman,mean_rmse_log2,analysis_role,analysis_plan_version,target_transform,predictor_transform
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,true_k_strong,5,0.7861846132170682,0.025451449257850384,0.8382255558365299,0.020179703812014012,0.42780448082932815,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,raw_gradient_effective_rank,5,0.781310510353696,0.022981441274820186,0.841423646290227,0.018245295113856887,0.43546304511706085,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_detectable,5,0.7680018964521536,0.030559519676601088,0.8255083398129575,0.020743944509095787,0.4441565123138352,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_whitened_detectable,5,0.7680018964521536,0.030559519676601088,0.8255083398129575,0.020743944509095787,0.4441565123138352,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,raw_gradient_detectable_rank,5,0.674899174212133,0.032200173176663155,0.753783824223002,0.027175294954345453,0.5317343778104395,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_effective,5,0.669862454666099,0.041315761473540435,0.768610354816013,0.027675616045814238,0.5301256431851422,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_whitened_effective,5,0.669862454666099,0.041315761473540435,0.768610354816013,0.027675616045814238,0.5301256431851422,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_raw_effective,5,0.6439743891063322,0.028189940933772462,0.8034439272142585,0.027548833679933635,0.5623785939427336,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,near_best_rank_gap_0.2,predicted_rank_raw_detectable,5,0.6382070669390157,0.027319947627757787,0.7609582787785281,0.02395466159283745,0.5633480859367819,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,gradient_effective_rank,5,0.7069472263283829,0.03931901831985741,0.8042996335546782,0.03018616106588778,0.6029532555747613,secondary_target,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,whitened_gradient_effective_rank,5,0.7069472263283829,0.03931901831985741,0.8042996335546782,0.03018616106588778,0.6029532555747613,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_detectable,5,0.69803374555636,0.026119341419719704,0.7938959770903322,0.01794264830052829,0.6184524045996553,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_whitened_detectable,5,0.69803374555636,0.026119341419719704,0.7938959770903322,0.01794264830052829,0.6184524045996553,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,gradient_detectable_rank,5,0.6978078320304976,0.03908664745912522,0.7957926444017345,0.03345166397180527,0.6129591169362479,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,whitened_gradient_detectable_rank,5,0.6978078320304976,0.03908664745912522,0.7957926444017345,0.03345166397180527,0.6129591169362479,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,true_k_strong,5,0.6874783315052259,0.0388660700260856,0.7859557054723428,0.032906588286118144,0.6239503211610093,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,raw_gradient_effective_rank,5,0.6636113895911278,0.036590456006167976,0.7773740728681544,0.02937265400647227,0.6494844951930446,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_effective,5,0.6074302930002148,0.03568437949323296,0.7477769658423964,0.021674607819050628,0.7047008938968948,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_whitened_effective,5,0.6074302930002148,0.03568437949323296,0.7477769658423964,0.021674607819050628,0.7047008938968948,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,raw_gradient_detectable_rank,5,0.5535827315915565,0.04683857608914382,0.6787910748079814,0.03818331297126413,0.7483610972096306,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_raw_effective,5,0.5280247092418122,0.038030218418660985,0.7155033757264236,0.03550858255235171,0.773547718540786,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.2,predicted_rank_raw_detectable,5,0.5213809863090347,0.03581995154108191,0.6849297486648895,0.033610038204225964,0.7792190212461729,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,gradient_effective_rank,5,0.7029907287728687,0.03390711621651648,0.810811190316221,0.022899179199630894,0.5464156097591177,secondary_target,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,whitened_gradient_effective_rank,5,0.7029907287728687,0.03390711621651648,0.810811190316221,0.022899179199630894,0.5464156097591177,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,predicted_rank_detectable,5,0.6972434467680613,0.030369852651724368,0.8089515880788569,0.022973846933617204,0.5549862767002179,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,predicted_rank_whitened_detectable,5,0.6972434467680613,0.030369852651724368,0.8089515880788569,0.022973846933617204,0.5549862767002179,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,gradient_detectable_rank,5,0.6878273777537125,0.03237331357518481,0.7977037531160669,0.024856647575710718,0.5613555757790929,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,whitened_gradient_detectable_rank,5,0.6878273777537125,0.03237331357518481,0.7977037531160669,0.024856647575710718,0.5613555757790929,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
observed_rank_sweep_minimum,observed_best_gap_v1,best_observed_validation_loss_on_tested_rank_grid,base_val_loss_minus_best_observed_val_loss,hard_knee,penalized_rank_lambda_0.3,true_k_strong,5,0.6785747939775847,0.03549012412187029,0.7915700099495887,0.026914627739410796,0.5691906390761826,exploratory,stage4_confirmatory_v1,log2(rank),log2(1+s)
