experiment,seed,rep,overlap,rank,single_a_loss,single_b_loss,merge_a_loss,merge_b_loss,mean_single_loss,mean_merge_loss,merge_degradation,forgetting_merge,spectral_interference,edge_a,edge_b,detectable_rank_a,detectable_rank_b,stable_rank_a,stable_rank_b
merge,17,0,0.0,8,0.001592007436777487,0.0015964944494237102,0.08181113935314818,0.08217841092537057,0.0015942509431005987,0.08199477513925937,0.08040052419615877,0.08195842822600738,1.429324426705079e-10,0.8100952839941408,0.822701527871823,6,6,2.662605408054649,2.6570991317434767
merge,17,1,0.0,8,0.001595847151618353,0.0016418141587930583,0.08195629775613271,0.08184478861396566,0.0016188306552057056,0.08190054318504919,0.08028171252984348,0.08202828998537029,2.600159483305106e-10,0.8376797354679413,0.8154672156443652,6,6,2.6729658148013336,2.6571790902834467
merge,17,2,0.0,8,0.0016015432473327925,0.001596110523566653,0.08099365567310354,0.08073825028691572,0.0015988268854497227,0.08086595298000963,0.07926712609455991,0.08091833156188341,7.463499585024953e-11,0.8110076153427057,0.8147779918227679,6,6,2.659167899136868,2.657900942801311
merge,17,3,0.0,8,0.0016123221110232989,0.001588077481222593,0.08018499716898733,0.07950897825291844,0.0016001997961229458,0.07984698771095289,0.07824678791482995,0.08002075373254736,1.692511634516539e-10,0.8017913643392356,0.8024656049036304,6,6,2.6499756256776292,2.6628853083578043
merge,17,4,0.0,8,0.001576416874946775,0.0015934666405390675,0.08368564788509314,0.08069489894766117,0.0015849417577429212,0.08219027341637716,0.08060533165863425,0.08215611962028424,8.432684644615775e-11,0.819870175065345,0.8260321498502164,6,6,2.6566958701575283,2.6550644972285538
merge,17,5,0.0,8,0.0016282318575763389,0.0016583439618900971,0.08217608102624091,0.081582013846366,0.001643287909733218,0.08187904743630345,0.08023575952657024,0.08185304855169025,1.1500972257593149e-10,0.8225139128016059,0.8210428222349071,6,6,2.651250403121664,2.6483553031588585
merge,17,6,0.0,8,0.0015928649592776322,0.001578207184224641,0.08078237196982661,0.08296467994907376,0.0015855360717511365,0.08187352595945019,0.08028798988769906,0.08196749614633632,1.1324117332231222e-10,0.8146077277834404,0.8153560738756866,6,6,2.6586030600409343,2.6531860481578633
merge,17,7,0.0,8,0.001596933586707418,0.0015760341317955886,0.08238814279760454,0.0818150598155803,0.0015864838592515034,0.08210160130659241,0.08051511744734091,0.08221011242566466,1.5574795072924483e-10,0.822070083926724,0.8212232800001296,6,6,2.654224089886341,2.6426035777100343
merge,17,0,0.05,8,0.0016107291764161245,0.0016062632177037911,0.08204909727921095,0.0791326951525548,0.0016084961970599578,0.08059089621588288,0.07898240001882292,0.08390142436191877,0.0004757374584406453,0.8147625321727261,0.8189448721328827,6,6,2.6687254568935055,2.656572742616966
merge,17,1,0.05,8,0.0016239895821377826,0.001587079448951723,0.0808269650230147,0.08067556094626452,0.0016055345155447528,0.08075126298463961,0.07914572846909486,0.08257700690058078,0.00047866439485210957,0.8201579414433333,0.8114549807242823,6,6,2.6575666153134896,2.6595839113520543
merge,17,2,0.05,8,0.001604469119888359,0.001552045618074244,0.0792332390126328,0.08010853052059344,0.0015782573689813017,0.07967088476661312,0.07809262739763181,0.08403367913176625,0.0004696310553919682,0.8147758308543531,0.8115584932269546,6,6,2.653866084997087,2.655559636575051
merge,17,3,0.05,8,0.00156408003586297,0.001617073246907831,0.07769156269101922,0.07745500203525676,0.0015905766413854005,0.07757328236313799,0.07598270572175259,0.08321586451550252,0.00047344979388789696,0.8157728020637058,0.8145387721188734,6,6,2.6553758436047477,2.6459982236139385
merge,17,4,0.05,8,0.0015984011730174417,0.001601669673233113,0.08329655489262328,0.0827000666034853,0.0016000354231252773,0.08299831074805429,0.08139827532492902,0.08057207831992627,0.00047608831919301485,0.8187378259590271,0.8248441895684798,6,6,2.6526424306853693,2.652925899074706
merge,17,5,0.05,8,0.001599670834841508,0.0016046782187611585,0.07859725267979713,0.07978550297076015,0.0016021745268013333,0.07919137782527863,0.0775892032984773,0.0830785099793975,0.000495274866361117,0.8244310983686557,0.8069405579536313,6,6,2.6545998666229513,2.662220757653943
merge,17,6,0.05,8,0.0016068354776934853,0.001607782314748587,0.07708649359656451,0.07726232747956834,0.0016073088962210362,0.07717441053806642,0.0755671016418454,0.08468514529743586,0.00047399178556698055,0.8088955110223439,0.8256893173940361,6,6,2.663441783490803,2.6545215654740115
merge,17,7,0.05,8,0.0016226087724785852,0.001589986723947749,0.07642549144895273,0.07746158588295943,0.0016062977482131672,0.07694353866595607,0.07533724091774291,0.08409747889782739,0.0004720134591395159,0.8216690013430222,0.806300049879367,6,6,2.653875794257979,2.646416543109405
merge,17,0,0.1,8,0.0015809865939465015,0.001567212250336101,0.07627040842413445,0.07647012156690222,0.0015740994221413013,0.07637026499551833,0.07479616557337702,0.08750552535105822,0.0019253891154059574,0.8322057343679564,0.8217988103049318,6,6,2.666305790729177,2.653358317937543
merge,17,1,0.1,8,0.0016161674055914454,0.0015732142281982353,0.07297193077158234,0.07317805985374792,0.0015946908168948404,0.07307499531266513,0.0714803044957703,0.089753297826454,0.0019140132589650575,0.8129617700621666,0.8178231425351837,6,6,2.6569967659741853,2.6461944794761854
merge,17,2,0.1,8,0.0016127971399673639,0.0015833363519672336,0.07825413904222689,0.07775096721806463,0.0015980667459672988,0.07800255313014576,0.07640448638417846,0.08715526747650476,0.001893367836898634,0.8226888529077372,0.8133427029729291,6,6,2.665934287632665,2.659966097593278
merge,17,3,0.1,8,0.0015832215416598954,0.001567457361481425,0.07372865355640168,0.07352711763253558,0.0015753394515706602,0.07362788559446863,0.07205254614289797,0.09016818007962937,0.0019227005076058277,0.8068579503420575,0.8227139545587007,6,6,2.663451378355474,2.650710571226299
merge,17,4,0.1,8,0.0016369384317700567,0.0016208902224249923,0.07754612411869721,0.07931659256821319,0.0016289143270975244,0.0784313583434552,0.07680244401635768,0.0840635313207087,0.0019083971632261995,0.80486419439835,0.8124952593760141,6,6,2.655675188553789,2.6565028034114424
merge,17,5,0.1,8,0.00160969283468759,0.001598840854748093,0.07301693417046047,0.07348691342215839,0.0016042668447178415,0.07325192379630943,0.07164765695159159,0.08888343956341886,0.0019303649036888414,0.8134359874882436,0.8049895676743293,6,6,2.661333357788551,2.652974266435573
merge,17,6,0.1,8,0.0016003129130596715,0.001603109144787891,0.07218740666732981,0.07410747557133711,0.0016017110289237814,0.07314744111933347,0.07154573009040968,0.08933708314448696,0.001889792601985773,0.8150202278064187,0.8085784316555149,6,6,2.6614362934775424,2.6528037167043617
merge,17,7,0.1,8,0.001592470149428902,0.0015972612904841825,0.0730152162475011,0.07403184659459018,0.0015948657199565423,0.07352353142104565,0.0719286657010891,0.0897740832045249,0.0019212391435251624,0.8098012854890151,0.815558823370381,6,6,2.650060816531094,2.6601372646703245
merge,17,0,0.25,8,0.0016094200067922496,0.0015929410611046058,0.08977375870780803,0.08781209336067262,0.0016011805339484278,0.08879292603424033,0.0871917455002919,0.07446897831120339,0.011997602589734107,0.8133810854678711,0.8248085897823645,6,6,2.6489527471622742,2.647446600949927
merge,17,1,0.25,8,0.0016368565675265907,0.0015997478119068583,0.09047589311184512,0.08854648669097942,0.0016183021897167244,0.08951118990141227,0.08789288771169554,0.07558841217248008,0.011938050832646605,0.8032902503298774,0.8121142360636224,6,6,2.663188436657164,2.6542513455301378
merge,17,2,0.25,8,0.0016026479175680684,0.0015956768507851724,0.061926591300521895,0.06126310295317588,0.0015991623841766205,0.06159484712684889,0.059995684742672264,0.10129083015205884,0.012064950749444695,0.8020373534573582,0.822427387518466,6,6,2.6566627277829387,2.650218562449298
merge,17,3,0.25,8,0.0015671885764334133,0.0015540395220376222,0.08059344920229841,0.08095818102966586,0.0015606140492355177,0.08077581511598214,0.07921520106674662,0.0804764185189212,0.01188019349599659,0.819646021622512,0.8059389181283878,6,6,2.652433132093565,2.6578627202535943
merge,17,4,0.25,8,0.0016009786855500602,0.001601528575699877,0.07160285075809246,0.07239179338187816,0.0016012536306249684,0.07199732206998531,0.07039606843936035,0.09038941394312568,0.011795757403591364,0.812896097938294,0.8217654580487561,6,6,2.651607603964108,2.6557447019967078
merge,17,5,0.25,8,0.0015732331820752245,0.0015960252704458372,0.07736199902533808,0.07766385682804244,0.0015846292262605309,0.07751292792669026,0.07592829870042973,0.08459749566008497,0.011951834687777609,0.81395362340648,0.8074484966376636,6,6,2.6569219937393247,2.6495641066306934
merge,17,6,0.25,8,0.001597418593435533,0.001606453536732496,0.0664757106691035,0.06675085712457249,0.0016019360650840146,0.06661328389683799,0.06501134783175397,0.09850284541872525,0.011954699567385107,0.8277018964737846,0.818269050600222,6,6,2.6463966884584655,2.6512990390380806
merge,17,7,0.25,8,0.0015975350230433994,0.0015823430906148337,0.06159369363357162,0.06259885494757213,0.0015899390568291166,0.06209627429057187,0.060506335233742756,0.0996252323287623,0.011962356369529133,0.8184624653264979,0.8127822814780411,6,6,2.6582590996855884,2.6536027067115633
