layer,base_val_loss,oracle_val_loss,improvement_gap,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,best_rank,best_val_loss,true_k_strong,spike_peak,spike_decay,weak_factor,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.5,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.05,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
22,0.2079195259920934,0.01441452762482119,0.19350499836727222,3,1.8375843991335539,2.992947034165828,4,4,2,32,0.022235664503593724,3,3.0305841159174287,0.09364500093308441,0.05416042278718958,8,4,4,2,2.0,2.0,4.0,4.0,16.0,8,8,8,8,4
23,0.13394590094316672,0.014359640944329278,0.11958625999883744,3,1.7209211803593905,3.7777446295121884,4,4,2,32,0.04416662759202021,8,2.0533275084332616,0.18630944792736082,0.07886068434071665,32,16,8,4,2.0,16.0,,,,32,8,8,8,8
24,0.17610231079545882,0.014457791741283029,0.1616445190541758,3,1.7078690414168796,2.918366538607834,4,4,2,32,0.026702359827966347,3,2.5005125073585344,0.09929408553969597,0.23940489433645423,8,4,4,4,2.0,4.0,4.0,8.0,,8,8,4,4,4
25,0.06874442287007039,0.014437812263804948,0.054306610606265446,3,1.683742097380373,3.083710115972614,4,4,2,32,0.02740874387360397,3,1.726659594171182,0.18566209284659546,0.06639819703995534,32,16,8,4,4.0,16.0,,,,32,16,16,16,8
26,0.07839106501513274,0.01443664467694509,0.06395442033818764,3,1.6756605705595164,2.8772599398579866,4,4,2,32,0.022434216346602708,3,2.0484803753667524,0.23387686815119424,0.1577480523972499,32,16,8,4,2.0,4.0,8.0,,,32,8,8,8,8
27,0.06157744237924277,0.014439515329107184,0.047137927050135586,3,1.926703140403899,3.6294736544306527,4,4,2,32,0.025148878783401916,3,1.7549005419557235,0.20585774433921056,0.21329609607219108,16,16,16,4,2.0,16.0,,,,16,16,16,16,16
28,0.14123617393521437,0.014379835719715527,0.12685633821549885,3,1.4264815740660317,2.967379098071844,4,4,2,32,0.03701864173643027,6,2.623920842312261,0.261285488962346,0.21815941203331318,32,16,8,4,2.0,4.0,32.0,,,32,16,16,4,4
29,0.14096163704261333,0.014360717827231577,0.12660091921538175,4,2.3866880757110183,4.545601402568077,4,8,4,32,0.038625630750815904,7,2.0722578396953177,0.15665254137827428,0.1429289276206005,32,16,8,8,4.0,8.0,32.0,,,32,8,8,8,8
30,0.17129572128915424,0.014392135810370904,0.15690358547878333,3,1.5593620892986564,3.0133993109109616,4,4,2,32,0.02800023229182423,4,2.310466391921537,0.06959217663677035,0.19825900532305935,32,8,4,4,2.0,4.0,4.0,32.0,,16,8,8,8,8
31,0.15207172134031086,0.014336969220061132,0.13773475212024971,4,1.7610983254404249,3.8854186624677505,4,4,2,32,0.035292896746658205,6,2.9040969875335234,0.2458846489374502,0.06215490962370767,32,8,4,4,2.0,4.0,8.0,,,32,8,8,8,8
