layer,base_val_loss,oracle_val_loss,improvement_gap,best_rank,best_val_loss,gradient_detectable_rank,gradient_effective_rank,gradient_stable_rank,true_k_strong,predicted_rank_detectable,predicted_rank_effective,predicted_rank_stable,near_best_rank_gap_0.02,near_best_rank_gap_0.05,near_best_rank_gap_0.1,near_best_rank_gap_0.2,near_best_rank_gap_0.5,recovery_rank_0.5,recovery_rank_0.6,recovery_rank_0.7,recovery_rank_0.8,recovery_rank_0.85,recovery_rank_0.9,recovery_rank_0.95,penalized_rank_lambda_0.03,penalized_rank_lambda_0.05,penalized_rank_lambda_0.08,penalized_rank_lambda_0.1,penalized_rank_lambda_0.15,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3,penalized_rank_lambda_0.5
24,0.1761023107954588,0.014457791741283,0.1616445190541758,32,0.0267023598279663,3,2.918366538607834,1.7078690414168796,3,4,4,2,8,4,4,4,2,2.0,2.0,4.0,4.0,4.0,8.0,,8,8,8,8,4,4,4,4
25,0.0687444228700703,0.0144378122638049,0.05430661060626539,32,0.0274087438736039,3,3.083710115972614,1.683742097380373,3,4,4,2,32,16,8,4,1,4.0,8.0,16.0,,,,,32,32,16,16,16,16,8,8
26,0.0783910650151327,0.014436644676945,0.0639544203381877,32,0.0224342163466027,3,2.8772599398579866,1.6756605705595164,3,4,4,2,32,16,8,4,2,2.0,2.0,4.0,8.0,32.0,,,32,32,32,8,8,8,8,8
27,0.0615774423792427,0.0144395153291071,0.0471379270501356,32,0.0251488787834019,3,3.6294736544306527,1.926703140403899,3,4,4,2,16,16,16,4,1,2.0,4.0,16.0,,,,,16,16,16,16,16,16,16,4
28,0.1412361739352143,0.0143798357197155,0.1268563382154988,32,0.0370186417364302,3,2.967379098071844,1.4264815740660317,6,4,4,2,32,16,8,4,1,2.0,4.0,4.0,32.0,,,,32,32,32,16,16,4,4,4
29,0.1409616370426133,0.0143607178272315,0.1266009192153818,32,0.0386256307508159,4,4.545601402568077,2.3866880757110183,7,4,8,4,32,16,8,8,2,4.0,4.0,8.0,32.0,,,,32,32,16,8,8,8,8,8
30,0.1712957212891542,0.0143921358103709,0.1569035854787833,32,0.0280002322918242,3,3.0133993109109616,1.5593620892986564,4,4,4,2,32,8,4,4,2,2.0,4.0,4.0,4.0,8.0,32.0,,32,16,8,8,8,8,8,4
31,0.1520717213403108,0.0143369692200611,0.13773475212024971,32,0.0352928967466582,4,3.8854186624677514,1.7610983254404249,6,4,4,2,32,8,4,4,1,2.0,4.0,4.0,8.0,,,,32,32,8,8,8,8,8,4
32,0.1966486687856737,0.0144685069827605,0.1821801618029132,32,0.0420377056720099,4,4.551195716839099,2.2966620464298138,6,4,8,4,32,8,8,4,2,2.0,4.0,4.0,16.0,,,,32,16,16,16,8,8,8,8
33,0.0399208906731347,0.0144109389991232,0.025509951674011502,32,0.019771362169589,2,2.544489916199072,1.2115540170636896,1,2,4,2,8,4,2,1,1,1.0,1.0,2.0,,,,,8,8,8,8,4,4,4,4
34,0.040285443676493,0.0143996823610281,0.025885761315464897,32,0.019934033517148,1,2.0981593033684707,1.1166666149338438,1,1,4,2,32,32,4,1,1,1.0,1.0,16.0,,,,,32,32,32,32,1,1,1,1
35,0.0571321227937752,0.0143939013703378,0.0427382214234374,32,0.0162936734138499,1,1.2596720375913515,1.028862498945496,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,8.0,4,4,1,1,1,1,1,1
36,0.1185862880577282,0.0144650726974199,0.1041212153603083,32,0.0225727343738691,3,2.875151562564102,1.6688591787320648,3,4,4,2,16,8,4,2,1,2.0,2.0,2.0,4.0,4.0,16.0,,16,16,8,8,8,4,4,4
37,0.102590575965641,0.0144458315690542,0.0881447443965868,32,0.0353590910445826,4,3.8888963517388286,2.098910104952685,4,4,4,4,32,16,16,8,2,8.0,8.0,16.0,,,,,32,32,16,16,16,16,16,8
38,0.097947934203935,0.0143991589724996,0.08354877523143539,16,0.0197222091955571,1,1.1915895624946138,1.023108896414221,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,2,2,2,2,1,1,1,1
39,0.1339122817852395,0.0144287843823763,0.11948349740286321,32,0.0231137307866918,1,1.285770562289691,1.0391379436312904,1,1,2,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,,1,1,1,1,1,1,1,1
40,0.0479835584620371,0.0143918902591921,0.033591668202844996,32,0.018870266989922,1,1.798201886061655,1.0981935345801763,1,1,2,2,32,8,1,1,1,1.0,1.0,1.0,2.0,32.0,,,32,16,8,8,2,2,2,2
41,0.0737812611563214,0.0144314523227379,0.0593498088335835,32,0.0257027330581682,3,3.289466650968004,1.625531491008318,2,4,4,2,32,16,8,4,1,2.0,2.0,8.0,32.0,,,,32,32,8,8,8,8,8,8
42,0.1053069909127731,0.0143653053280198,0.0909416855847533,32,0.034176315571086,3,2.48328407005037,1.3558228929011122,4,4,4,2,32,16,4,2,1,2.0,2.0,4.0,,,,,32,32,8,8,8,4,4,4
43,0.1802264926684558,0.0143497909377952,0.1658767017306606,32,0.0188952883523599,2,1.86230949549886,1.3155188265432882,2,2,2,2,2,2,2,2,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,2,2,2,2,2
44,0.1034351680618583,0.0144223462270856,0.0890128218347727,32,0.0408217745872386,4,3.9001876041143135,1.7452642559279876,6,4,4,2,32,16,8,2,1,2.0,8.0,32.0,,,,,32,32,16,8,8,8,8,8
45,0.1783185214158413,0.0143589928171574,0.1639595285986839,32,0.0338804633912114,4,3.5405053932666304,1.702906018483192,5,4,4,2,32,32,16,4,2,2.0,4.0,8.0,16.0,32.0,,,32,32,32,32,16,8,8,8
46,0.0958340785336013,0.0144073570698838,0.0814267214637175,32,0.0451821151774644,4,4.144828388294397,1.725461378540085,6,4,8,2,32,32,16,4,1,16.0,32.0,,,,,,32,32,32,32,16,16,16,4
47,0.2198772091720881,0.014434510140729,0.20544269903135912,32,0.0378765392295393,5,4.551393671308439,2.104924829181195,6,8,8,4,32,8,8,4,2,2.0,4.0,4.0,8.0,8.0,,,32,16,8,8,8,8,8,8
