condition,target,predictor,n_runs,mean_r2,sem_r2,mean_spearman,sem_spearman,mean_rmse_log2
hard_knee,near_best_rank_gap_0.1,gradient_effective_rank,5,0.7924754733041458,0.03831543299093305,0.8484556182355153,0.0168038957130809,0.49378281372632715
hard_knee,near_best_rank_gap_0.1,whitened_gradient_effective_rank,5,0.7924754733041458,0.03831543299093305,0.8484556182355153,0.0168038957130809,0.49378281372632715
hard_knee,near_best_rank_gap_0.1,predicted_rank_detectable,5,0.7920156867865756,0.03655875638264231,0.8583346177718301,0.022805518988775548,0.49897731861633454
hard_knee,near_best_rank_gap_0.1,predicted_rank_whitened_detectable,5,0.7920156867865756,0.03655875638264231,0.8583346177718301,0.022805518988775548,0.49897731861633454
hard_knee,near_best_rank_gap_0.1,gradient_detectable_rank,5,0.7829550562568854,0.039339732508753236,0.8412170929265109,0.020141965340254028,0.5049823391026103
hard_knee,near_best_rank_gap_0.1,whitened_gradient_detectable_rank,5,0.7829550562568854,0.039339732508753236,0.8412170929265109,0.020141965340254028,0.5049823391026103
hard_knee,near_best_rank_gap_0.1,true_k_strong,5,0.7752562825663238,0.04089007789998836,0.8327205395408015,0.02289053458934037,0.51449751937481
hard_knee,near_best_rank_gap_0.1,raw_gradient_effective_rank,5,0.7526410374172494,0.033043319678928346,0.8286825098201683,0.012793277815335725,0.5463556559259466
hard_knee,near_best_rank_gap_0.1,predicted_rank_whitened_effective,5,0.6893138044268083,0.03783429727132772,0.8070819126885642,0.02006982222368757,0.6127620117326668
hard_knee,near_best_rank_gap_0.1,raw_gradient_detectable_rank,5,0.6472412969974377,0.04085132714845082,0.7460666182310218,0.024325409587672122,0.6515684301776277
hard_knee,near_best_rank_gap_0.1,predicted_rank_raw_detectable,5,0.6302441923361155,0.032701145887383445,0.7516702714978798,0.01942621165838323,0.6713963749941665
hard_knee,near_best_rank_gap_0.1,predicted_rank_raw_effective,5,0.6038926054794521,0.028525192286401706,0.7642504928269208,0.022043460189264556,0.7002136999607492
hard_knee,near_best_rank_gap_0.2,gradient_effective_rank,5,0.8111446262921282,0.02109588935571381,0.8530328505715792,0.011091577826763002,0.38563184743486945
hard_knee,near_best_rank_gap_0.2,whitened_gradient_effective_rank,5,0.8111446262921282,0.02109588935571381,0.8530328505715792,0.011091577826763002,0.38563184743486945
hard_knee,near_best_rank_gap_0.2,gradient_detectable_rank,5,0.7935767936575525,0.021922832820855883,0.8384198883294157,0.0129021075062781,0.4035943795760318
hard_knee,near_best_rank_gap_0.2,whitened_gradient_detectable_rank,5,0.7935767936575525,0.021922832820855883,0.8384198883294157,0.0129021075062781,0.4035943795760318
hard_knee,near_best_rank_gap_0.2,raw_gradient_effective_rank,5,0.7844648288455704,0.019493182907323724,0.8319723290911704,0.01934625516865828,0.4156202159074545
hard_knee,near_best_rank_gap_0.2,true_k_strong,5,0.7698411379097527,0.02822398006749827,0.8095632052210503,0.018800284053025793,0.42406758504128356
hard_knee,near_best_rank_gap_0.2,predicted_rank_detectable,5,0.7531625967914992,0.029584488491575384,0.7969043609102678,0.02165898618270518,0.43984974454893216
hard_knee,near_best_rank_gap_0.2,predicted_rank_whitened_detectable,5,0.7531625967914992,0.029584488491575384,0.7969043609102678,0.02165898618270518,0.43984974454893216
hard_knee,near_best_rank_gap_0.2,raw_gradient_detectable_rank,5,0.6985323363321869,0.031035999311657538,0.7627017302519234,0.026394148399060118,0.49234767574644944
hard_knee,near_best_rank_gap_0.2,predicted_rank_raw_detectable,5,0.6771430199605671,0.02440866728640758,0.7753772218227282,0.01901494886701763,0.5108424684041404
hard_knee,near_best_rank_gap_0.2,predicted_rank_whitened_effective,5,0.6507006704565772,0.03530198984090607,0.7407698857658496,0.026073877104661754,0.524806626485864
hard_knee,near_best_rank_gap_0.2,predicted_rank_raw_effective,5,0.6448087648097943,0.01795561063861167,0.7959872032408623,0.022201108691041978,0.5372789097259865
hard_knee,penalized_rank_lambda_0.2,gradient_effective_rank,5,0.712361370118216,0.03816948993610476,0.797156010989359,0.028809416513010302,0.5857671576252008
