experiment,seed,task_rep,rank,alpha,lr,steps,steps_completed,diverged,base_val_loss,oracle_val_loss,final_train_loss,final_val_loss,forgetting_loss,adapter_edge,adapter_detectable_rank,adapter_stable_rank_edge_summary,adapter_effective_rank_edge_summary,gradient_edge,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,gradient_frobenius,gradient_nuclear,gradient_top_sv,gradient_left_overlap_true,gradient_right_overlap_true,gradient_mean_overlap_true,gradient_null_method,gradient_null_quantile,adapter_frobenius,adapter_nuclear,adapter_stable_rank,adapter_effective_rank,adapter_top_sv,adapter_left_overlap_true,adapter_right_overlap_true,adapter_mean_overlap_true,intruder_count,intruder_energy,detectable_signal_energy,detectable_adapter_rank
lora_rank,13,0,16,1.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.15510257492595514,0.1608601776394984,3.965950965801124e-09,8.490772995262114e-05,4,1.4622677915362319,2.725962442680151,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,0.00046011821128257653,0.0009297529167068307,1.4622576917546206,2.7259624063195576,0.00038050114301100527,0.9916974139522153,0.10622889431385205,0.5489631541330336,0,0.0,2.071531202397152e-07,4
lora_rank,13,0,16,2.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.15475041029041206,0.16049135406487225,1.2205503919580963e-06,0.0013492902655542491,1,1.0311136444968765,1.1864139641379212,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,0.005122381421296898,0.006969579867530287,1.0311136039768964,1.1864140016249343,0.005044506044291382,0.9942683491033792,0.1016016997593506,0.5479350244313649,0,0.0,2.544704123089228e-05,1
lora_rank,13,0,16,4.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.14524107630811817,0.15048816160410294,0.0009611315208361642,0.03716814987762275,1,1.006016987942691,1.04354189324844,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,0.12970794255270926,0.14853513625120648,1.0060169878825354,1.0435418933078227,0.129319469192759,0.9967085040887753,0.2110002369547998,0.6038543705217876,0,0.0,0.016723525112296956,1
lora_rank,13,0,16,8.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.08579998069276613,0.08893564754167844,0.04704119827089492,0.32241155182942904,1,1.0313120005999654,1.1666577436652212,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,1.7204824084462949,2.1576684268831468,1.0313120005996061,1.1666577436655547,1.6941630315800769,0.9981161385029553,0.4203111094282294,0.7092136239655924,0,0.0,2.870188377572598,1
lora_rank,13,0,16,16.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.023076448678287495,0.023782633250073792,0.11943633867056253,0.6398519064515032,4,1.785126616616149,3.2200287928292637,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,3.57980303792413,7.1419949422965585,1.7851266166159003,3.2200287928292206,2.6793202073204614,0.9983225245343992,0.69403414529165,0.8461783349130245,0,0.0,12.687523969162472,4
lora_rank,13,0,16,32.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.007853051240032313,0.008121321732030931,0.14972607141001731,0.7969929476701333,5,2.467983892497273,4.629336724932849,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,4.397192918330662,10.42730984112679,2.4679838924969575,4.629336724932723,2.7990094157182646,0.9992148455536995,0.9301665558631645,0.964690700708432,0,0.0,18.60193887681133,5
lora_rank,13,0,16,64.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.0063682590048930515,0.006443649084480344,0.15457886560679007,0.8075301098085947,6,2.618687536822898,5.143648596495588,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,4.536576497618096,11.339664002686115,2.618687536822565,5.143648596495428,2.803408578068726,0.9994913964362179,0.9957664320404159,0.9976289142383169,0,0.0,19.970191246473917,6
lora_rank,13,0,16,128.0,0.4,500,500,False,0.1608856495225245,0.006352117685010935,0.006329992363633875,0.0064281049220713815,0.15483386011136513,0.8181785802665237,6,2.6292157870597057,5.199396677386786,0.027765155138757713,4,1.7229892997433403,3.9486348420334987,0.10666466163377376,0.274533515788733,0.08126045876003692,0.9992477860647018,0.531189090384503,0.7652184382246023,permute,0.995,4.547647810821628,11.495095701370952,2.6292157870593713,5.199396677386623,2.804617942136855,0.999474407882715,0.9991319010479964,0.9993031544653557,0,0.0,20.00732698126437,6
lora_rank,13,1,16,1.0,0.4,500,500,False,0.1685401392594909,0.0063958418723654275,0.17210029645003147,0.16851690736666067,2.9407626799649396e-09,7.40911660200348e-05,4,1.7878639093237356,3.182195552973536,0.028288144923253704,4,1.7851087851690959,3.6973277562930806,0.12135321279110035,0.30015807942138223,0.09082782927934802,0.999391079274759,0.5637544855653939,0.7815727824200764,permute,0.995,0.0004064912552918132,0.0008580773797145975,1.7878445646325252,3.1821925183326525,0.0003040072762974451,0.9953232577378185,0.11588430832408454,0.5556037830309515,0,0.0,1.618400616809792e-07,4
lora_rank,13,1,16,2.0,0.4,500,500,False,0.1685401392594909,0.0063958418723654275,0.17163697088580335,0.16807908335065283,1.5859709881316113e-06,0.0014255986100805325,1,1.0528452221838707,1.29285425323947,0.028288144923253704,4,1.7851087851690959,3.6973277562930806,0.12135321279110035,0.30015807942138223,0.09082782927934802,0.999391079274759,0.5637544855653939,0.7815727824200764,permute,0.995,0.005579555431694035,0.008067698254002794,1.0528451865773243,1.2928542841015687,0.005437726137444852,0.9970376874107305,0.16660569756899443,0.5818216924898625,0,0.0,2.956886554585091e-05,1
lora_rank,13,1,16,4.0,0.4,500,500,False,0.1685401392594909,0.0063958418723654275,0.14694775620943779,0.14448149723589251,0.006928633685315425,0.0828740003651247,1,1.0019702865131683,1.0151045847159037,0.028288144923253704,4,1.7851087851690959,3.6973277562930806,0.12135321279110035,0.30015807942138223,0.09082782927934802,0.999391079274759,0.5637544855653939,0.7815727824200764,permute,0.995,0.34980953102189793,0.37295333177990664,1.0019702865049638,1.015104584724075,0.34946542692566107,0.9967667957043982,0.21668920346050272,0.6067279995824505,0,0.0,0.12212608461633456,1
lora_rank,13,1,16,8.0,0.4,500,500,False,0.1685401392594909,0.0063958418723654275,0.07734710148202997,0.0788127515106277,0.06607821314807427,0.36831547110902657,2,1.1344997972369097,1.526871887324119,0.028288144923253704,4,1.7851087851690959,3.6973277562930806,0.12135321279110035,0.30015807942138223,0.09082782927934802,0.999391079274759,0.5637544855653939,0.7815727824200764,permute,0.995,2.0235316175092817,2.8704526228308422,1.1344997972365953,1.526871887324334,1.8997995623625616,0.997361640889652,0.4374048195394165,0.7173832302145342,0,0.0,4.001110701927439,2
