experiment,subset,outcome,model,predictors,n,k,ols_r2,adj_r2,rmse,aic,spearman_first_predictor,abs_spearman_first_predictor
lora_rank,all,excess_val_loss,adapter_stable_rank,adapter_stable_rank,56,2,0.8459692910824881,0.8431168705469786,0.017024476129267017,-452.1875579933653,-0.906269758672284,0.906269758672284
lora_rank,all,excess_val_loss,adapter_effective_rank,adapter_effective_rank,56,2,0.8400201140320849,0.8370575235511976,0.01735013231620872,-450.0653762022468,-0.9198038245332117,0.9198038245332117
lora_rank,all,excess_val_loss,adapter_detectable,adapter_detectable_rank,56,2,0.8386919503968624,0.8357047642931006,0.017422004428006024,-449.60237975095833,-0.9410237082640425,0.9410237082640425
lora_rank,all,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",56,3,0.8386919503968625,0.8326048541854234,0.017422004428006024,-447.60237975095833,,
lora_rank,all,excess_val_loss,adapter_frobenius,adapter_frobenius,56,2,0.8323474610381577,0.8292427843907162,0.01776131706626856,-447.44202694595845,-0.9049213943950787,0.9049213943950787
lora_rank,all,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,56,2,0.6663486260733716,0.6601698969265822,0.025056277976288076,-408.9026567946963,-0.9049213943950787,0.9049213943950787
lora_rank,all,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,56,2,0.20409763244546753,0.18935869971297614,0.03869902274271831,-360.21738427844207,-0.6345864661654135,0.6345864661654135
lora_rank,all,excess_val_loss,rank,log2_rank,56,2,0.02170888573768537,0.003592383621716544,0.04290462931858592,-348.6628614963118,0.09390803413505072,0.09390803413505072
lora_rank,all,excess_val_loss,gradient_detectable,gradient_detectable_rank,56,2,0.001511095366862114,-0.016979439904121874,0.043345270881169476,-347.51845937527884,0.019137451750855995,0.019137451750855995
lora_rank,all,excess_val_loss,alpha,log2_alpha,56,2,9.490186414495838e-12,-0.018518518508852555,0.043378057462386675,-347.43377403537175,,
lora_rank,all,excess_val_loss,intruder_count,intruder_count,56,2,9.490075392193376e-12,-0.018518518508852555,0.04337805746238668,-347.43377403537175,,
lora_rank,all,excess_val_loss,intruder_energy,intruder_energy,56,2,9.490075392193376e-12,-0.018518518508852555,0.04337805746238668,-347.43377403537175,,
lora_rank,all,excess_val_loss,rank_plus_alpha,"log2_rank,log2_alpha",56,3,0.02170888573768537,-0.015207760083534083,0.04290462931858592,-346.6628614963118,,
lora_rank,nondiverged,excess_val_loss,adapter_stable_rank,adapter_stable_rank,56,2,0.8459692910824881,0.8431168705469786,0.017024476129267017,-452.1875579933653,-0.906269758672284,0.906269758672284
lora_rank,nondiverged,excess_val_loss,adapter_effective_rank,adapter_effective_rank,56,2,0.8400201140320849,0.8370575235511976,0.01735013231620872,-450.0653762022468,-0.9198038245332117,0.9198038245332117
lora_rank,nondiverged,excess_val_loss,adapter_detectable,adapter_detectable_rank,56,2,0.8386919503968624,0.8357047642931006,0.017422004428006024,-449.60237975095833,-0.9410237082640425,0.9410237082640425
lora_rank,nondiverged,excess_val_loss,adapter_detectable_plus_alpha,"adapter_detectable_rank,log2_alpha",56,3,0.8386919503968625,0.8326048541854234,0.017422004428006024,-447.60237975095833,,
lora_rank,nondiverged,excess_val_loss,adapter_frobenius,adapter_frobenius,56,2,0.8323474610381577,0.8292427843907162,0.01776131706626856,-447.44202694595845,-0.9049213943950787,0.9049213943950787
lora_rank,nondiverged,excess_val_loss,log_adapter_frobenius,log10_adapter_frobenius,56,2,0.6663486260733716,0.6601698969265822,0.025056277976288076,-408.9026567946963,-0.9049213943950787,0.9049213943950787
lora_rank,nondiverged,excess_val_loss,adapter_overlap_true,adapter_mean_overlap_true,56,2,0.20409763244546753,0.18935869971297614,0.03869902274271831,-360.21738427844207,-0.6345864661654135,0.6345864661654135
lora_rank,nondiverged,excess_val_loss,rank,log2_rank,56,2,0.02170888573768537,0.003592383621716544,0.04290462931858592,-348.6628614963118,0.09390803413505072,0.09390803413505072
lora_rank,nondiverged,excess_val_loss,gradient_detectable,gradient_detectable_rank,56,2,0.001511095366862114,-0.016979439904121874,0.043345270881169476,-347.51845937527884,0.019137451750855995,0.019137451750855995
lora_rank,nondiverged,excess_val_loss,alpha,log2_alpha,56,2,9.490186414495838e-12,-0.018518518508852555,0.043378057462386675,-347.43377403537175,,
lora_rank,nondiverged,excess_val_loss,intruder_count,intruder_count,56,2,9.490075392193376e-12,-0.018518518508852555,0.04337805746238668,-347.43377403537175,,
