experiment,seed,task_rep,rank,alpha,lr,steps,steps_completed,diverged,base_val_loss,oracle_val_loss,final_train_loss,final_val_loss,forgetting_loss,adapter_edge,adapter_detectable_rank,adapter_stable_rank_edge_summary,adapter_effective_rank_edge_summary,gradient_edge,gradient_detectable_rank,gradient_stable_rank,gradient_effective_rank,gradient_frobenius,gradient_nuclear,gradient_top_sv,gradient_left_overlap_true,gradient_right_overlap_true,gradient_mean_overlap_true,gradient_null_method,gradient_null_quantile,adapter_frobenius,adapter_nuclear,adapter_stable_rank,adapter_effective_rank,adapter_top_sv,adapter_left_overlap_true,adapter_right_overlap_true,adapter_mean_overlap_true,intruder_count,intruder_energy,detectable_signal_energy,detectable_adapter_rank
lora_rank,21,0,1,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.10556028827776569,0.10351767781706718,0.06950668172248443,0.46740529899758665,1,1.0,0.9999999999989999,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,2.5442077987959903,2.544207798795992,0.9999999999998455,0.9999999999991545,2.5442077987959903,0.16138392131623092,0.14871830390438484,0.15505111261030788,0,0.0,6.472993323454339,1
lora_rank,21,0,2,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.059473291359201735,0.057908746829167954,0.11511411033047954,0.6207982201906468,2,1.5529182806217718,1.9176725765758775,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,3.4730415123890856,4.859356202429115,1.5529182806215718,1.9176725765759328,2.7869916859931982,0.2841269713862995,0.3104639066777729,0.2972954390320362,0,0.0,12.062017346777875,2
lora_rank,21,0,4,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.020890117237829558,0.020621975658870455,0.15244138144353897,0.7573069257316564,4,2.2882775065712435,3.569783901813715,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,4.238345485054741,8.23270070096959,2.288277506570952,3.569783901813661,2.8018314714543466,0.5148615482209762,0.5159074247932727,0.5153844865071244,0,0.0,17.963572450683905,4
lora_rank,21,0,8,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.00722511088654718,0.0073094982613931625,0.1632687098837849,0.774288215072058,5,2.4315580719019296,4.334361554376684,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,4.368256281877462,9.797706065015298,2.4315580719016197,4.334361554376578,2.8013397711685206,0.9991940174557417,0.8475420079084192,0.9233680126820805,0,0.0,18.73108020698587,5
lora_rank,21,0,16,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.015496794413005645,0.01591346071930972,0.14504364045241364,0.690925959417199,4,2.014917793818437,3.399501272638133,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,3.8437870269752983,7.769041835741856,2.014917793818162,3.3995012726380804,2.7078877063980347,0.9995707272944798,0.7594426132257176,0.8795066702600987,0,0.0,14.479414194581427,4
lora_rank,21,0,32,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.06350801606689006,0.06317522704270137,0.08728409453585897,0.39288948668281953,2,1.4675165097905343,1.9309630207039215,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,2.1941422257213548,3.2645520113459794,1.467516509790087,1.930963020704059,1.8112286427343334,0.9993223275091045,0.5347116354276822,0.7670169814683934,0,0.0,4.784273088179718,2
lora_rank,21,0,64,16.0,0.2,1200,1200,False,0.17290016700016658,0.0024885453575043594,0.12083691497254015,0.12558692276354136,0.03300711744098221,0.22433402668507885,1,1.0194377539019037,1.0993527540070716,0.036953869147665235,2,1.60296330487851,3.1378692919880917,0.13368982767175352,0.30206614236248475,0.10559335118877211,0.9997376486933737,0.5431090469312051,0.7714233478122894,permute,0.995,0.7338809145196077,0.8371104628534284,1.0194377538999742,1.0993527540089194,0.7268507399004049,0.9994747184568923,0.40500702904533536,0.7022408737511139,0,0.0,0.5283119980937662,1
lora_rank,21,1,1,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.09839186277653121,0.09945029700327918,0.05680150149781009,0.4894518459614097,1,1.0,0.9999999999989999,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,2.7139841618420286,2.713984161842031,0.9999999999998642,0.9999999999991358,2.7139841618420286,0.16091497664555104,0.18161674557040233,0.1712658611079767,0,0.0,7.365710030729379,1
lora_rank,21,1,2,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.06413153152237482,0.06279329121182582,0.09344982270294022,0.6324403231941675,2,1.6244917390808236,1.946801697001353,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,3.535099914842216,4.965421401353277,1.6244917390806124,1.9468016970014053,2.773594321226927,0.29085857273279864,0.28524149917597547,0.28805003595438705,0,0.0,12.496931407917444,2
lora_rank,21,1,4,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.019978969313901584,0.01999103975344039,0.1363312618522704,0.7593697325518997,4,2.2940375501617183,3.57478790220415,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,4.239308175458285,8.237634237709452,2.2940375501614256,3.5747879022040965,2.798947338754904,0.517220168528113,0.5226186685923571,0.519919418560235,0,0.0,17.97173380650746,4
lora_rank,21,1,8,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.005545632349889486,0.005844645929640488,0.14797447338557457,0.7854363842017974,5,2.477569507634656,4.483039053174626,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,4.404684521747166,10.090166631318708,2.4775695076343394,4.483039053174511,2.7983490475646753,0.9994744027810761,0.891724833209703,0.9455996179953896,0,0.0,18.904967026944583,5
lora_rank,21,1,16,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.01533007030737023,0.01596114731401966,0.12995623911359966,0.712814519982127,4,2.101713871472872,3.4743992283914236,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,3.939515953306755,7.91750425180735,2.101713871472587,3.4743992283913685,2.717415624793209,0.9991212199795455,0.7395526333718438,0.8693369266756947,0,0.0,15.416417432691986,4
lora_rank,21,1,32,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.07087025455199467,0.07259231229784738,0.051364912580218886,0.35684599970999537,2,1.1649963511422285,1.64705944625775,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,1.95560698957112,2.939044631637049,1.1649963511418735,1.6470594462579657,1.8118377259119356,0.9991499421347785,0.5064576470781749,0.7528037946064767,0,0.0,3.7020816888592063,2
lora_rank,21,1,64,16.0,0.2,1200,1200,False,0.15624109464466043,0.0024917596075504688,0.14630306691250966,0.14796143029898415,0.0005364371728412055,0.025913840714553396,1,1.0239115228465832,1.1349180782438368,0.018228965391704554,5,2.4012055375054486,4.796716720415573,0.0949594354422843,0.24673645022463805,0.061280663075767745,0.9996136866919834,0.5755355377637378,0.7875746122278606,permute,0.995,0.12257601394496644,0.1517290633094065,1.0239115227768059,1.134918078309813,0.12113629296441401,0.9987042908963595,0.37784226653384134,0.6882732787151005,0,0.0,0.014674001473160333,1
lora_rank,21,2,1,16.0,0.2,1200,1200,False,0.1704218702540673,0.0025077986583591652,0.09188314759921638,0.09639202750305235,0.0740618586312352,0.5107210409395825,1,1.0,0.9999999999989999,0.023753069669051205,4,1.7611823664640065,3.8358296158042053,0.10677189747054897,0.26125614934040864,0.08045532555221906,0.9996326131347658,0.5670104945632852,0.7833215538490255,permute,0.995,2.734520291460719,2.7345202914607207,0.9999999999998662,0.9999999999991338,2.734520291460719,0.17870471784292705,0.16853969927163906,0.17362220855728305,0,0.0,7.4776012244104155,1
lora_rank,21,2,2,16.0,0.2,1200,1200,False,0.1704218702540673,0.0025077986583591652,0.06065827189676575,0.060751343096729395,0.10968976880511111,0.6203652826262092,2,1.6368428933548576,1.9509750704418665,0.023753069669051205,4,1.7611823664640065,3.8358296158042053,0.10677189747054897,0.26125614934040864,0.08045532555221906,0.9996326131347658,0.5670104945632852,0.7833215538490255,permute,0.995,3.502185412414098,4.921882138034272,1.636842893354639,1.9509750704419189,2.7373834432795796,0.2766315465099142,0.28151053251215163,0.2790710395110329,0,0.0,12.265302662926107,2
