rule,n,wins,mean_loss_delta,median_loss_delta,mean_acc_delta
soft_dimension,39,33,-0.10736319305112534,-0.0032685793994461,0.029972956730769232
gradient_norm,39,32,-0.08985971723748848,-0.0035531432076823,0.03172576121794872
marginal_gain_soft,39,30,-0.06986902466413969,-0.0029898627544754,0.02403846153846154
effective_rank,39,32,-0.034338808483787404,-0.0040353527292608,0.012219551282051282
marginal_gain_edge,39,27,0.028399460380546193,-0.0007840019388822,-0.004156650641025641
uniform,39,3,3.383582323495573,0.238253228366375,-0.21662159455128205
