rule,mean_loss_delta,median_loss_delta,budgets_better,n_budgets,mean_acc_delta
effective_rank,-0.06648641243130743,-0.0004556818603305,6,7,0.02101934523809523
marginal_gain_soft,-0.0649911087128289,-0.0021452268313927,7,7,0.023995535714285716
marginal_gain_edge,-0.05675393998466286,-0.0024501189764123,7,7,0.023995535714285716
gradient_norm,-0.051258860374911695,-0.0024457681089795,7,7,0.023995535714285716
soft_dimension,-0.0283149292892111,-0.0005006405748039,6,7,0.015764508928571428
uniform,3.140403190037302,0.0009490362620757,1,7,-0.26171875
