run,seed,budget,rule,loss_delta_vs_uniform_fill,acc_delta_vs_uniform_fill,loss_ratio_vs_uniform_fill,actual_cost,uniform_fill_cost,task,task_family
20260611_131349_modular_small_step3_s202,202,1024,soft_dimension,-0.3354816436767578,0.0625,0.89551621181147,1024,960,modular,
20260611_131349_modular_small_step3_s202,202,1024,gradient_norm,0.0062918961048126,0.0087890625,1.0019595740998364,1024,960,modular,
20260611_131349_modular_small_step3_s202,202,1024,marginal_gain_edge,-0.2194690108299255,0.041015625,0.931647665159306,1024,960,modular,
20260611_131349_modular_small_step3_s202,202,1024,marginal_gain_soft,-0.1517082452774047,0.04296875,0.9527513577425696,1024,960,modular,
20260611_131349_modular_small_step3_s202,202,1536,uniform,0.4392002373933796,-0.1181640625,1.2146525495611111,1152,1536,modular,
20260611_131349_modular_small_step3_s202,202,1536,effective_rank,1.1902788728475575,-0.3125,1.5817310032931806,1536,1536,modular,
20260611_131349_modular_small_step3_s202,202,1536,soft_dimension,-0.012254804372787,-0.005859375,0.9940106475838826,1472,1536,modular,
20260611_131349_modular_small_step3_s202,202,1536,gradient_norm,-0.4897584021091459,0.1630859375,0.7606379033271244,1472,1536,modular,
20260611_131349_modular_small_step3_s202,202,1536,marginal_gain_edge,0.7131919115781784,-0.169921875,1.348561883880544,1536,1536,modular,
20260611_131349_modular_small_step3_s202,202,1536,marginal_gain_soft,0.5015537887811665,-0.1416015625,1.2451269155564788,1536,1536,modular,
20260611_131349_modular_small_step3_s202,202,2048,uniform,0.7035232484340668,-0.2822265625,1.4270147281706584,1152,1920,modular,
20260611_131349_modular_small_step3_s202,202,2048,effective_rank,-0.0035837143659591,-0.041015625,0.9978248070419456,1984,1920,modular,
20260611_131349_modular_small_step3_s202,202,2048,soft_dimension,-0.2196119576692581,0.0654296875,0.8667029972131004,1984,1920,modular,
20260611_131349_modular_small_step3_s202,202,2048,gradient_norm,-0.2518256604671478,0.07421875,0.8471503732248679,2048,1920,modular,
20260611_131349_modular_small_step3_s202,202,2048,marginal_gain_edge,0.7459072768688202,-0.2802734375,1.4527403945521582,2048,1920,modular,
20260611_131349_modular_small_step3_s202,202,2048,marginal_gain_soft,-0.5322850272059438,0.16015625,0.6769210588170643,2048,1920,modular,
20260611_131349_modular_small_step3_s202,202,3072,uniform,0.1498960852622988,-0.119140625,1.1368421954756749,2304,3072,modular,
20260611_131349_modular_small_step3_s202,202,3072,effective_rank,-0.4532095193862913,0.1435546875,0.5862588036587363,3008,3072,modular,
20260611_131349_modular_small_step3_s202,202,3072,soft_dimension,-0.4150768965482709,0.130859375,0.6210705989052197,2944,3072,modular,
20260611_131349_modular_small_step3_s202,202,3072,gradient_norm,-0.2976031303405759,0.056640625,0.7283140139052,3072,3072,modular,
20260611_131349_modular_small_step3_s202,202,3072,marginal_gain_edge,0.7906753122806549,-0.310546875,1.721818354705979,3072,3072,modular,
20260611_131349_modular_small_step3_s202,202,3072,marginal_gain_soft,-0.2685039341449735,0.083984375,0.7548790698705753,3072,3072,modular,
20260611_131349_modular_small_step3_s202,202,4096,uniform,0.5429486781358719,-0.1845703125,1.7749551292076131,2304,3840,modular,
20260611_131349_modular_small_step3_s202,202,4096,effective_rank,-0.1388319134712219,0.0712890625,0.801844064135824,3968,3840,modular,
20260611_131349_modular_small_step3_s202,202,4096,soft_dimension,-0.1164757162332534,0.041015625,0.8337532489571657,3968,3840,modular,
20260611_131349_modular_small_step3_s202,202,4096,gradient_norm,-0.3463908322155475,0.1083984375,0.5055935064478482,4096,3840,modular,
20260611_131349_modular_small_step3_s202,202,4096,marginal_gain_edge,-0.0098876431584358,0.0107421875,0.9858872853181772,4096,3840,modular,
20260611_131349_modular_small_step3_s202,202,4096,marginal_gain_soft,-0.4002564791589975,0.126953125,0.4287106240173531,4096,3840,modular,
20260611_131454_modular_small_step3_s303,303,512,uniform,8.188762873411179,-0.0576171875,3.485310647134802,0,512,modular,
20260611_131454_modular_small_step3_s303,303,512,effective_rank,-0.6029796302318573,0.1171875,0.8169941274173964,448,512,modular,
20260611_131454_modular_small_step3_s303,303,512,soft_dimension,-0.4928468465805049,0.09375,0.8504197112373952,448,512,modular,
20260611_131454_modular_small_step3_s303,303,512,gradient_norm,-0.0620362162590026,0.0146484375,0.9811718484025131,448,512,modular,
20260611_131454_modular_small_step3_s303,303,512,marginal_gain_edge,0.1143287718296051,-0.01171875,1.034699077051623,448,512,modular,
20260611_131454_modular_small_step3_s303,303,512,marginal_gain_soft,0.1132978200912475,-0.013671875,1.0343861805406809,448,512,modular,
20260611_131454_modular_small_step3_s303,303,1024,uniform,9.233206927776337,-0.3125,5.020131317752572,0,960,modular,
20260611_131454_modular_small_step3_s303,303,1024,effective_rank,0.9869686365127563,-0.271484375,1.4297253983714249,1024,960,modular,
20260611_131454_modular_small_step3_s303,303,1024,soft_dimension,-0.2093127518892288,-0.033203125,0.9088653860292596,1024,960,modular,
20260611_131454_modular_small_step3_s303,303,1024,gradient_norm,-0.4720179140567779,0.044921875,0.7944837569781517,1024,960,modular,
20260611_131454_modular_small_step3_s303,303,1024,marginal_gain_edge,0.7179946601390839,-0.1650390625,1.312614332353038,1024,960,modular,
20260611_131454_modular_small_step3_s303,303,1024,marginal_gain_soft,-0.2941986918449402,0.0048828125,0.871906111930655,1024,960,modular,
20260611_131454_modular_small_step3_s303,303,1536,uniform,0.3945202082395553,-0.07421875,1.2189462923709111,1152,1536,modular,
20260611_131454_modular_small_step3_s303,303,1536,effective_rank,0.0273048132658006,-0.02734375,1.0151533115505127,1536,1536,modular,
20260611_131454_modular_small_step3_s303,303,1536,soft_dimension,-0.3250602930784223,0.0341796875,0.8196017732929235,1472,1536,modular,
20260611_131454_modular_small_step3_s303,303,1536,gradient_norm,-0.1431839317083358,0.0263671875,0.920537426677028,1472,1536,modular,
20260611_131454_modular_small_step3_s303,303,1536,marginal_gain_edge,-0.1420033425092697,0.02734375,0.921192616506472,1472,1536,modular,
20260611_131454_modular_small_step3_s303,303,1536,marginal_gain_soft,-0.0682985037565231,0.013671875,0.9620964810935831,1472,1536,modular,
20260611_131454_modular_small_step3_s303,303,2048,uniform,0.5016072243452072,-0.15234375,1.3923118017178056,1152,1920,modular,
20260611_131454_modular_small_step3_s303,303,2048,effective_rank,1.781488016247749,-0.455078125,2.393318795009719,1984,1920,modular,
20260611_131454_modular_small_step3_s303,303,2048,soft_dimension,-0.071938619017601,0.0341796875,0.9437361188792148,1984,1920,modular,
20260611_131454_modular_small_step3_s303,303,2048,gradient_norm,-0.2542601525783539,0.1572265625,0.8011407058714719,2048,1920,modular,
20260611_131454_modular_small_step3_s303,303,2048,marginal_gain_edge,-0.1381066516041758,0.0947265625,0.8919854685291373,2048,1920,modular,
20260611_131454_modular_small_step3_s303,303,2048,marginal_gain_soft,-0.2134083434939384,0.1650390625,0.8330912959895864,2048,1920,modular,
20260611_131454_modular_small_step3_s303,303,3072,uniform,0.1639154702425002,-0.099609375,1.2058661338190195,2304,3072,modular,
20260611_131454_modular_small_step3_s303,303,3072,effective_rank,-0.2899046763777733,0.0986328125,0.6359004137092612,3008,3072,modular,
20260611_131454_modular_small_step3_s303,303,3072,soft_dimension,-0.1403901204466819,0.060546875,0.8236800267846148,2944,3072,modular,
20260611_131454_modular_small_step3_s303,303,3072,gradient_norm,-0.0983438268303871,0.0361328125,0.8764871711950857,3072,3072,modular,
20260611_131454_modular_small_step3_s303,303,3072,marginal_gain_edge,-0.3237204924225808,0.1455078125,0.5934301618118616,3072,3072,modular,
20260611_131454_modular_small_step3_s303,303,3072,marginal_gain_soft,-0.2279425859451294,0.0751953125,0.7137203777543968,3072,3072,modular,
20260611_131454_modular_small_step3_s303,303,4096,uniform,0.4422824382781982,-0.1728515625,1.7582632541028371,2304,3840,modular,
20260611_131454_modular_small_step3_s303,303,4096,effective_rank,-0.1835760623216629,0.060546875,0.6852712874304714,3968,3840,modular,
20260611_131454_modular_small_step3_s303,303,4096,soft_dimension,-0.0977142229676246,0.0390625,0.8324755896526096,3968,3840,modular,
20260611_131454_modular_small_step3_s303,303,4096,gradient_norm,-0.2294073291122914,0.0830078125,0.6066966878338717,4096,3840,modular,
20260611_131454_modular_small_step3_s303,303,4096,marginal_gain_edge,-0.283028807491064,0.0810546875,0.5147662986382731,4096,3840,modular,
20260611_131454_modular_small_step3_s303,303,4096,marginal_gain_soft,-0.1297602243721485,0.0439453125,0.777534892932714,4096,3840,modular,
20260611_132912_assoc_small_step4_s101,101,512,uniform,10.015578955411913,-0.4970703125,8.274175546370422,0,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,512,effective_rank,-0.920574251562357,0.4404296875,0.3313997384330193,512,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,512,soft_dimension,-1.0809740610420704,0.5029296875,0.2149035900871127,512,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,512,gradient_norm,-0.9378507919609548,0.5029296875,0.3188520276863077,512,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,512,marginal_gain_edge,-0.9499856755137444,0.5029296875,0.3100386307183713,512,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,512,marginal_gain_soft,-1.0436312071979046,0.5029296875,0.2420251849019722,512,512,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,uniform,11.340269453823566,-1.0,79.2188009386471,0,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,effective_rank,-0.1330175024922937,0.0,0.0825200766907112,1024,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,soft_dimension,-0.1281381624285132,0.0,0.1161750203157175,1024,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,gradient_norm,-0.1288486138219014,0.0,0.1112747261611302,1024,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,marginal_gain_edge,-0.1153192291967571,0.0,0.2045928123958225,1024,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1024,marginal_gain_soft,-0.1271937047131359,0.0,0.1226893584745123,1024,1024,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,uniform,-0.0160066215321421,0.0,0.4232636103196817,1408,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,effective_rank,-0.0215338126290589,0.0,0.2241127631588448,1536,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,soft_dimension,0.0025589568540453,0.0,1.0922020636513632,1536,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,gradient_norm,-0.0230301430565305,0.0,0.1701983123938377,1536,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,marginal_gain_edge,-0.0218474972061813,0.0,0.2128103587042453,1472,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,1536,marginal_gain_soft,-0.0221943517099134,0.0,0.2003128048747184,1536,1536,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,uniform,0.0009030891233122,0.0,1.1591009467955138,1408,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,effective_rank,-0.0035828819382005,0.0,0.3687888671126007,2048,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,soft_dimension,-0.0032685793994461,0.0,0.4241608455864972,2048,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,gradient_norm,-0.0035531432076823,0.0,0.3740280622925719,2048,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,marginal_gain_edge,-0.0036310602008598,0.0,0.3603011032738075,2048,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,2048,marginal_gain_soft,-0.0029898627544754,0.0,0.4732635099391191,1984,2048,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,uniform,0.0006085886852814,0.0,1.274043827961558,2816,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,effective_rank,-0.0008898903033696,0.0,0.5992877437600125,3072,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,soft_dimension,-0.0005968476471026,0.0,0.7312430909782841,3072,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,gradient_norm,-0.000494681778946,0.0,0.7772477674926038,3072,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,marginal_gain_edge,-0.0007877460011514,0.0,0.6452827092618608,3072,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,3072,marginal_gain_soft,-0.0002327015245101,0.0,0.89521590182088,3072,3072,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,uniform,0.0008243472402682,0.0,1.4828114900226097,2816,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,effective_rank,-0.0003663174284156,0.0,0.7854517431548714,4096,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,soft_dimension,-0.0003773681382882,0.0,0.7789794588567964,4096,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,gradient_norm,-0.0005066107260064,0.0,0.7032834374443874,4096,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,marginal_gain_edge,-0.0005273185670376,0.0,0.69115507321262,4096,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,4096,marginal_gain_soft,-0.0002245324576506,0.0,0.8684937061213392,4096,4096,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,uniform,0.0001492007868365,0.0,1.1177417826588714,5632,6144,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,effective_rank,-2.223119372499996e-05,0.0,0.98245625619465,6144,6144,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,soft_dimension,-0.0001694729144218,0.0,0.8662604703399103,6144,6144,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,gradient_norm,-0.0002504364238119,0.0,0.8023681268206027,6144,6144,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,marginal_gain_edge,-0.0003481833773547,0.0,0.7252311304037202,6144,6144,assoc,assoc
20260611_132912_assoc_small_step4_s101,101,6144,marginal_gain_soft,-0.0001770210656104,0.0,0.8603038477539544,6144,6144,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,uniform,10.721007399260998,-0.9990234375,27.05583317333812,0,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,effective_rank,-0.1389901787042617,0.0009765625,0.6622047934319746,512,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,soft_dimension,-0.0566549524664878,0.0009765625,0.8623084627278623,512,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,gradient_norm,-0.0459821671247481,0.0009765625,0.88824709927599,512,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,marginal_gain_edge,-0.1270075999200343,0.0009765625,0.691326690485206,512,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,512,marginal_gain_soft,-0.125000100582838,0.0009765625,0.6962056226487245,512,512,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,uniform,11.10855695209466,-1.0,716.1143996850873,0,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,effective_rank,-0.0041991154430434,0.0,0.7296815479985332,1024,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,soft_dimension,-0.0002222040202468,0.0,0.98569559527563,1024,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,gradient_norm,0.0038303651381284,0.0,1.2465801164039472,960,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,marginal_gain_edge,-0.002437055693008,0.0,0.8431143103086924,1024,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1024,marginal_gain_soft,-0.0014549476327374,0.0,0.9063376091561448,1024,1024,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1536,uniform,0.0029714299016631,0.0,1.5797310362851449,1408,1536,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1536,effective_rank,0.0012572513660415,0.0,1.2452918835131332,1536,1536,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1536,soft_dimension,0.0001719649299048,0.0,1.033550650803713,1472,1536,assoc,assoc
20260611_133953_assoc_small_step4_s202,202,1536,gradient_norm,-0.0014002953248564,0.0,0.7267999964159148,1536,1536,assoc,assoc
