rule,n_run_clusters,clusters_better,mean_cluster_loss_delta,sem_cluster_loss_delta,median_cluster_loss_delta,mean_cluster_acc_delta
soft_dimension,6,5,-0.1139505483646182,0.05962993611662333,-0.12462677028053723,0.031156994047619044
gradient_norm,6,4,-0.09307645530936988,0.051002381758128344,-0.08152838287891685,0.032369946676587304
marginal_gain_soft,6,5,-0.07027551766008226,0.03986283296384404,-0.07765240531270613,0.024042038690476192
effective_rank,6,5,-0.031659841488160735,0.06847941899202949,-0.06900274962044059,0.011486235119047622
marginal_gain_edge,6,3,0.035495577077646945,0.06407690823702515,-0.002103717330014446,-0.006502666170634923
