rule,mean_loss_delta,median_loss_delta,taskbudgets_better,n_taskbudgets,mean_acc_delta
soft_dimension,-0.10736319305112532,-0.0803699662598471,12,13,0.029972956730769214
gradient_norm,-0.08985971723748845,-0.0430739211927478,12,13,0.031725761217948706
marginal_gain_soft,-0.06986902466413968,-0.0087228907893101,11,13,0.02403846153846154
effective_rank,-0.03433880848378738,-0.0072725851787254,10,13,0.012219551282051277
marginal_gain_edge,0.0283994603805462,-0.0006006827170495,9,13,-0.004156650641025639
uniform,3.3835823234955735,0.35732455799977,1,13,-0.21662159455128205
