task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,budget,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,3072,5,-0.0012076294612294802,8.347418019094724e-05,-0.0012691437683922,-0.0013475681684212933,-0.0010550662613241066,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,4096,5,-0.0008380272774957135,0.0002177704491480037,-0.0007443396316375667,-0.0012814690824598132,-0.0005108314508106666,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6144,5,-0.0002405266636439333,1.6477336167137426e-05,-0.0002221346706695333,-0.00027317708299962,-0.00021696658222936002,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,512,5,-0.0840065563718478,0.11200854024690896,-0.05460438753167792,-0.26769345576564474,0.11422129670778909,0.4375,4,0,0.016927083333333332,0.0461861182410355
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1024,5,-0.053501307374487314,0.02951405861871329,-0.0237393306257824,-0.11324609432679908,-0.016192745479444666,0.0625,5,0,0.00013020833333333333,7.973599423122324e-05
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,1536,5,-0.004621205478906641,0.0006374311404002051,-0.0046217339889457,-0.005762406310532254,-0.0035729535738937544,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,2048,5,-0.002071488955213373,0.00048525840259442163,-0.0019806601533976665,-0.00297374810907058,-0.0012960488985602934,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,3072,5,-0.00044529609440362004,5.60084680602397e-05,-0.00044311779007940016,-0.0005509495395624,-0.0003538778265162202,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,4096,5,-0.0006094929907703866,0.00018115432824684547,-0.00044921133182169987,-0.0009853034736200601,-0.00038123364696124003,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6144,5,-0.00014747495297341335,1.9972967215629167e-05,-0.00014756485325050005,-0.0001826856523014867,-0.0001164500945984867,0.0625,5,0,0.0,0.0
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,512,5,10.950107053667306,0.11083945874284333,10.895030799011389,10.77312184770902,11.15858444298307,0.0625,0,0,-0.9083984375,0.05329230399268901
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,1024,5,11.466724427618706,0.1034096892206064,11.563159650502106,11.26083094420222,11.592746955528856,0.0625,0,0,-0.9998697916666666,7.973599423123232e-05
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,1536,5,3.5930036877599813e-05,0.0002053985905772427,2.09936406463003e-05,-0.0003443922149017203,0.000407754016729693,0.6875,2,0,0.0,0.0
associative_recall,fixed_update_scale,uniform,uniform,uniform,False,2048,5,0.007399209540259706,0.0012147281062216393,0.0066092305351048335,0.005704136034764806,0.009866640972904853,0.0625,0,0,0.0,0.0
