run,seed,task_family,protocol_version,site_name,d_in,d_out,n_tokens,n_batches,whitening,lambda_scale,calibration_data_seed,permutation_seed,dropout_disabled_during_calibration,edge,null_bootstrap,null_quantile,null_quantile_method,null_uncertainty_resamples,edge_mc_confidence,edge_mc_ci_low,edge_mc_ci_high,edge_q_0_99,edge_q_0_995,edge_q_0_999,gradient_norm,cov_trace,cov_effective_rank,top_sv,frobenius,nuclear,effective_rank,stable_rank,hard_detectable_rank,soft_dimension
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.q_proj,64,64,8192,8,diag,0.01,1137808844,1193552939,True,0.0707181030819359,4096,0.995,linear,2000,0.95,0.0703128456632825,0.07127407892006,0.0700835275041479,0.0707181030819359,0.0723919532213021,0.2575397517763323,66.37562049829634,18.29115435360483,0.189201549319443,0.2545034098008734,0.7412942119122574,4.85586135157163,1.809413531679748,2,3.990657912945284
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.k_proj,64,64,8192,8,diag,0.01,1137808844,564143451,True,0.0464397998351595,4096,0.995,linear,2000,0.95,0.0461614150638696,0.0465361442915365,0.0460147668192126,0.0464397998351595,0.0471957138457651,0.1779120417770956,66.31869766053906,19.15396603754796,0.1093305552965537,0.1723437092865991,0.6180690589154478,7.5032479468467645,2.4848934075134728,4,5.028185584897301
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.v_proj,64,64,8192,8,diag,0.01,1137808844,650855559,True,0.2325397092801908,4096,0.995,linear,2000,0.95,0.231796816815936,0.2333866704833194,0.2309188410726151,0.2325397092801908,0.2368162412242286,0.8851912602016375,66.31869766053906,19.15396603754796,0.4411324031917383,0.8761863185267381,3.443148314019974,10.875529406203382,3.945072739947663,5,6.120888195417692
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.attn.o_proj,64,64,8192,8,diag,0.01,1137808844,146246530,True,0.6664335472507574,4096,0.995,linear,2000,0.95,0.6628519139219424,0.6702077584068725,0.6612197758733175,0.6664335472507574,0.6754914660284467,1.1785413910770806,16.15338217753465,4.835417588044963,1.4855616393416136,2.5261910717691087,8.660094912401902,8.354751216775728,2.8916853784299628,4,5.503400869323447
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.0.mlp.fc2,128,64,8192,8,diag,0.01,1137808844,1583553367,True,0.8319986422974909,4096,0.995,linear,2000,0.95,0.8295029604276445,0.8351233176996848,0.8278964040474049,0.8319986422974909,0.8423812799174238,1.6058707569857984,28.070431185778915,14.51042325157468,1.6803047553273194,3.7678172726718486,14.340713249141558,12.340238016932284,5.028095902130822,8,7.882670904989666
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.q_proj,64,64,1024,8,diag,0.01,1137808844,646435254,True,0.0750871815522039,4096,0.995,linear,2000,0.95,0.0746603998208252,0.0755456707637974,0.0743842763081466,0.0750871815522039,0.0765168093068735,0.2896906544563505,68.26687264869668,13.359180017638938,0.1705714525892708,0.2790104269063128,0.8748402329139112,6.740916964772828,2.675643027797027,4,4.779400912915252
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.k_proj,64,64,8192,8,diag,0.01,1137808844,1087352200,True,0.0493416777154796,4096,0.995,linear,2000,0.95,0.0491896172998019,0.0495176624245758,0.0490398369204475,0.0493416777154796,0.0499807343591309,0.1958858511576526,67.97460702613249,17.55965271272602,0.1083991643859457,0.1885462843981284,0.7083301232495013,9.064161349037228,3.0254089545283978,4,5.698658168335403
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.v_proj,64,64,8192,8,diag,0.01,1137808844,1162640809,True,0.2343914399197756,4096,0.995,linear,2000,0.95,0.2332639113721026,0.2359769960082922,0.2325102414514552,0.2343914399197756,0.2397789406923263,0.9138776813508774,67.97460702613249,17.55965271272602,0.3897841291804131,0.8985617932264037,3.5345898123529333,12.216492958722968,5.314318668853528,6,6.617545047924834
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.attn.o_proj,64,64,1024,8,diag,0.01,1137808844,190596101,True,0.500604247482775,4096,0.995,linear,2000,0.95,0.4985697620238007,0.502423944299013,0.4969666772778497,0.500604247482775,0.5096504288069723,1.0427127937626046,18.37707964057746,10.697376458147067,0.8588947456268903,1.9371557065841247,7.151346027875299,11.76394861269981,5.086852779229281,5,6.612068244912859
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,synthetic_transformer_publication_protocol_v4,blocks.1.mlp.fc2,128,64,1024,8,diag,0.01,1137808844,1792444605,True,0.4652455407474366,4096,0.995,linear,2000,0.95,0.4632246687639614,0.4674099997607163,0.4617658164891997,0.4652455407474366,0.4700427078224997,1.342484047345947,51.36658731024744,10.274680660248652,0.7647765148397705,2.1140518477530814,8.225682949024327,14.311932156070371,7.641210833613226,10,8.521597450454422
