task_family,scaling_mode,condition_id,rule,allocation_rule,comparison_role,is_primary_allocation_rule,budget,n_runs,mean_adaptation_replicates,mean_actual_cost,mean_requested_budget,mean_val_loss,sem_val_loss,median_val_loss,mean_val_accuracy,sem_val_accuracy,median_val_accuracy,diverged_count
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,2048,5,3.0,2035.2,2048.0,0.0031579846652068865,0.00017745446641651084,0.0032640663654697998,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,3072,5,3.0,3046.4,3072.0,0.0016656547804207399,8.475182567050979e-05,0.0016233517526415666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,4096,5,3.0,4096.0,4096.0,0.0012549100016864133,4.228900070037856e-05,0.0012029011656219332,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,candidate,False,6144,5,3.0,6144.0,6144.0,0.0008657524197284201,2.6153065157562338e-05,0.0008528048347215667,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,512,5,3.0,512.0,512.0,0.5015175379812717,0.08035528512767,0.5207940625647703,0.9253255208333334,0.01790411931192103,0.9117838541666666,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,1024,5,3.0,1024.0,1024.0,0.021630752598866772,0.0005350153949665761,0.022295277177666595,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,1536,5,3.0,1510.4,1536.0,0.009393495592909494,0.0011149953741516883,0.0087053859412359,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,2048,5,3.0,2048.0,2048.0,0.004884423678352767,0.0005673150746123589,0.004359766443182367,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,3072,5,3.0,3072.0,3072.0,0.0024279881472466,0.00011085059685807998,0.0024438632487241334,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,4096,5,3.0,4096.0,4096.0,0.00148344428841174,5.5939191649851656e-05,0.0014673246672221002,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,candidate,True,6144,5,3.0,6144.0,6144.0,0.00095880413039894,4.150904147988315e-05,0.0009532452992667666,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,512,5,3.0,0.0,512.0,11.535631148020427,0.12058282106495939,11.600569009780884,0.0,0.0,0.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,1024,5,3.0,0.0,1024.0,11.54185648759206,0.12005608658904862,11.605939030647278,0.0,0.0,0.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,1536,5,3.0,1408.0,1536.0,0.014050631108693734,0.0010033811512729595,0.013547964238872065,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,2048,5,3.0,1408.0,2048.0,0.014355122173825846,0.0017136082396151473,0.013616865073951533,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,3072,5,3.0,2816.0,3072.0,0.00297548335317206,0.00013252437938993363,0.0030315902937823667,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,4096,5,3.0,2816.0,4096.0,0.003108702425379253,0.0002433011797055492,0.0029293919409003996,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform,uniform,uniform,cap_baseline,False,6144,5,3.0,5632.0,6144.0,0.00113050985964942,4.5193161497036405e-05,0.0010925769505168,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__1024,uniform_exact_cost__1024,uniform_exact_cost,exact_cost_baseline,False,1024,5,3.0,1024.0,1024.0,0.0751320599733541,0.029728718919284955,0.04497721015165243,0.9998697916666666,7.973599423123232e-05,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__1472,uniform_exact_cost__1472,uniform_exact_cost,exact_cost_baseline,False,1536,4,3.0,1472.0,1536.0,0.011290214019633458,0.0014423419870932756,0.01074125796246025,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__1536,uniform_exact_cost__1536,uniform_exact_cost,exact_cost_baseline,False,1536,5,3.0,1536.0,1536.0,0.008912337893464867,0.0008214823388044635,0.0087053859412359,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__1984,uniform_exact_cost__1984,uniform_exact_cost,exact_cost_baseline,False,2048,1,3.0,1984.0,2048.0,0.0048595864597397,0.0,0.0048595864597397,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__2048,uniform_exact_cost__2048,uniform_exact_cost,exact_cost_baseline,False,2048,5,3.0,2048.0,2048.0,0.0054464502046660335,0.0005975135415951119,0.005277948531632566,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__3008,uniform_exact_cost__3008,uniform_exact_cost,exact_cost_baseline,False,3072,2,3.0,3008.0,3072.0,0.002667258915607783,0.0001759542938088833,0.002667258915607783,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__3072,uniform_exact_cost__3072,uniform_exact_cost,exact_cost_baseline,False,3072,5,3.0,3072.0,3072.0,0.0023545816201172866,0.00010856046793876807,0.0023658772988709997,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__4096,uniform_exact_cost__4096,uniform_exact_cost,exact_cost_baseline,False,4096,5,3.0,4096.0,4096.0,0.0016704340319847132,3.2658542321943787e-05,0.0016565933231807333,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__512,uniform_exact_cost__512,uniform_exact_cost,exact_cost_baseline,False,512,5,3.0,512.0,512.0,0.38053242998818554,0.05996781407914248,0.3889005370438099,0.9358723958333333,0.010739721149950277,0.9235026041666666,0
associative_recall,fixed_update_scale,uniform_exact_cost__6144,uniform_exact_cost__6144,uniform_exact_cost,exact_cost_baseline,False,6144,5,3.0,6144.0,6144.0,0.0010340195105527066,3.465092977259138e-05,0.0010370822322632,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_exact_cost__960,uniform_exact_cost__960,uniform_exact_cost,exact_cost_baseline,False,1024,2,3.0,960.0,1024.0,0.046086712119479914,0.00469074351713062,0.046086712119479914,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,512,5,3.0,512.0,512.0,0.5855240943531195,0.14620214885558486,0.49372036134203273,0.9083984375,0.05329230399268901,0.9866536458333334,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1024,5,3.0,1024.0,1024.0,0.0751320599733541,0.029728718919284955,0.04497721015165243,0.9998697916666666,7.973599423123232e-05,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,1536,5,3.0,1536.0,1536.0,0.014014701071816136,0.0011499055959967358,0.013526970598225767,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,2048,5,3.0,2048.0,2048.0,0.00695591263356614,0.0006442741240294048,0.007318381355920133,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,3072,5,3.0,3072.0,3072.0,0.00287328424165022,0.00013231915242996263,0.0028396149573381665,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,4096,5,3.0,4096.0,4096.0,0.0020929372791821266,0.00022153701815708527,0.0019165359990438002,1.0,0.0,1.0,0
associative_recall,fixed_update_scale,uniform_fill,uniform_fill,uniform_fill,cap_baseline,False,6144,5,3.0,6144.0,6144.0,0.0011062790833723535,3.8450927101795154e-05,0.0010749395053911,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,512,5,3.0,512.0,512.0,0.4357981490592162,0.07367885470778147,0.4462510173519452,0.9427734375,0.011185513510059511,0.9423828125,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,1024,5,3.0,1024.0,1024.0,0.017088613457356832,0.001391547801710541,0.016502542110780834,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,1536,5,3.0,1497.6,1536.0,0.007383878567876867,0.0008088101237210543,0.007566435611806734,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,2048,5,3.0,2048.0,2048.0,0.00337113703717472,0.0003425827181487025,0.0033408209177044,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,3072,5,3.0,3072.0,3072.0,0.00197578802471976,8.201877237452882e-05,0.0020371868934792336,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,4096,5,3.0,4096.0,4096.0,0.00134902138961474,7.561156026964568e-05,0.0013630870283425668,1.0,0.0,1.0,0
associative_recall,rslora,effective_rank,effective_rank,effective_rank,candidate,False,6144,5,3.0,6144.0,6144.0,0.0009754263000407131,4.916072751499892e-05,0.0009462455418542333,1.0,0.0,1.0,0
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,candidate,False,512,5,3.0,512.0,512.0,0.3991925078133742,0.02584098583322154,0.3996703661978245,0.9996744791666666,0.0002058774518338759,1.0,0
