task_family,run,seed,scaling_mode,budget,best_loss_condition_id,best_loss_rule,best_loss,best_accuracy_condition_id,best_accuracy_rule,best_accuracy
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,rslora,3072,gradient_norm,gradient_norm,0.0014377083425642333,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,rslora,4096,gradient_norm,gradient_norm,0.0011506096246496668,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,rslora,6144,effective_rank,effective_rank,0.0008466423387289666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,512,marginal_gain_edge,marginal_gain_edge,0.3181529665986697,gradient_norm,gradient_norm,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,1024,gradient_norm,gradient_norm,0.010522759985178667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,1536,gradient_norm,gradient_norm,0.0033117760225043337,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,2048,marginal_gain_edge,marginal_gain_edge,0.0018992159893968666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,3072,gradient_norm,gradient_norm,0.0012785257567884002,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,4096,effective_rank,effective_rank,0.0010546868264403,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed103,103,standard,6144,effective_rank,effective_rank,0.0008754089334008667,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,512,marginal_gain_edge,marginal_gain_edge,0.43007280429204303,gradient_norm,gradient_norm,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,1024,effective_rank,effective_rank,0.022569943995525404,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,1536,marginal_gain_soft,marginal_gain_soft,0.0056260788114741,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,2048,marginal_gain_edge,marginal_gain_edge,0.0035347721811072666,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,3072,marginal_gain_edge,marginal_gain_edge,0.0019406027422519002,effective_rank,effective_rank,1.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,4096,marginal_gain_soft,marginal_gain_soft,0.0011949759937124,effective_rank,effective_rank,1.0
