task_family,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_independent_runs,mean_loss_delta,sem_loss_delta,median_loss_delta,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,exact_sign_flip_p_two_sided,run_wins_loss,run_ties_loss,mean_accuracy_delta,sem_accuracy_delta
associative_recall,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,5,0.004383172049572405,0.009540081884803257,-0.002020649746728371,-0.011252243705357181,0.02058886163459171,0.8125,3,0,-0.000548735119047619,0.0010542338548928938
associative_recall,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,5,-0.0006327881203365696,0.005542485316551886,-0.005312084480205431,-0.010303819017246415,0.009038242776573275,0.9375,3,0,0.009105282738095237,0.0015166245414665281
associative_recall,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,-0.014428031960588195,0.009861186655378953,-0.017330963682893313,-0.03166508653555953,0.0008982638315931801,0.25,3,0,0.009151785714285713,0.0015325817605127716
associative_recall,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,-0.01424656179269299,0.009978041043163821,-0.01748226956676393,-0.031651858778994735,0.0022455427648050584,0.25,3,0,0.009151785714285713,0.0015325817605127716
associative_recall,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,5,0.009500840749838282,0.010024639254657615,0.02241361224185398,-0.010237836172538144,0.025299941175658862,0.4375,2,0,-0.0014880952380952378,0.0013092879706379419
associative_recall,rslora,effective_rank,effective_rank,effective_rank,False,5,-0.00418660974433546,0.019142948199711098,-0.0016830418576968716,-0.04133242167133306,0.02666426373671995,0.8125,3,0,0.0056640625,0.0059317895672548766
associative_recall,rslora,gradient_norm,gradient_norm,gradient_norm,False,5,0.006845129456182583,0.005250873625056925,0.0019249475763423185,-0.0018969292602767896,0.016463506501514482,0.3125,1,0,0.007933407738095238,0.0019425557277608148
associative_recall,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,-0.01913178062532097,0.016581756994384238,-0.011076759982859672,-0.05115959277422266,0.005271315414020569,0.3125,3,0,0.013839285714285715,0.006544203094237832
associative_recall,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,-0.018933250607335052,0.016687344442936812,-0.01134202765145649,-0.05078632036332108,0.005724177249552062,0.3125,3,0,0.013839285714285715,0.006544203094237832
associative_recall,rslora,soft_dimension,soft_dimension,soft_dimension,True,5,-0.00043899502440278293,0.019646645440518886,0.016464838144505244,-0.03817656634773998,0.026904978450537388,1.0,2,0,0.0057942708333333336,0.005902171221451439
associative_recall,standard,effective_rank,effective_rank,effective_rank,False,5,-0.03561703380345578,0.025286163282785108,-0.004334358830029872,-0.08250127600601576,0.006137446407159406,0.3125,4,0,0.015327380952380953,0.009700866367031205
associative_recall,standard,gradient_norm,gradient_norm,gradient_norm,False,5,0.0046251356681404135,0.004637892791507281,0.0006949098446750148,-0.0032903904131325414,0.012540661749413368,0.4375,2,0,0.005850074404761904,0.0018173919980074718
associative_recall,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,5,-0.04500915877329785,0.02700805827846165,-0.01342184509468054,-0.09515106134335623,-0.00014388342852250066,0.1875,4,0,0.02169828869047619,0.010435640869001736
associative_recall,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,5,-0.04457800945646817,0.027191293507376462,-0.013365961097796171,-0.09506435317965779,0.0006634942750679315,0.1875,4,0,0.02169828869047619,0.010435640869001736
associative_recall,standard,soft_dimension,soft_dimension,soft_dimension,True,5,-0.029300207786824718,0.02781960543026461,-0.004168256434370862,-0.0772216605637195,0.01862124499007006,0.4375,3,0,0.014388020833333334,0.010107736115554638
modular,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,5,0.031144741928964693,0.025721070884330677,0.02061048015032094,-0.012434424670782051,0.07700668493762693,0.375,2,0,-0.009249624234015496,0.006808087292716469
