task_family,run,seed,scaling_mode,budget,adaptation_replicate,condition_id,rule,allocation_rule,is_primary_allocation_rule,matched_baseline_condition_id,actual_cost,exact_uniform_cost,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__512,512,512,0.0955678075551987,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,1,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__512,512,512,0.0955678075551987,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__512,512,512,0.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__512,512,512,0.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__512,512,512,0.1144490502774716,0.115234375
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__512,512,512,0.02504497393965721,0.115234375
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,fixed_update_scale,512,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__512,512,512,0.02504497393965721,0.115234375
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__512,512,512,0.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__512,512,512,0.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,gradient_norm,gradient_norm,gradient_norm,False,uniform_exact_cost__512,512,512,0.0658208448439836,0.0595703125
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,uniform_exact_cost__512,512,512,0.016674289479851723,0.0595703125
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,standard,512,2,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,uniform_exact_cost__512,512,512,0.016674289479851723,0.0595703125
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,effective_rank,effective_rank,effective_rank,False,uniform_exact_cost__512,512,512,0.0,0.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed101,101,rslora,512,2,soft_dimension,soft_dimension,soft_dimension,True,uniform_exact_cost__512,512,512,0.0,0.0
