run,seed,task_family,scaling_mode,site_name,base_loss,best_loss,best_rank,protocol_version,is_primary_scaling_mode,reference_alpha,scale_reference_rank,scale_at_reference_rank,near_best_rank_gap_0.1,near_best_rank_gap_0.2,recovery_rank_0.7,recovery_rank_0.8,penalized_rank_lambda_0.2,penalized_rank_lambda_0.3
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.0.attn.q_proj,11.084311842918396,8.160034775733948,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,2,4,8,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.0.attn.v_proj,11.09354543685913,0.0117775236722081,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.0.mlp.fc2,11.101905107498167,0.0037733812641818,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.1.attn.k_proj,11.082871198654177,8.804675102233887,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.1.attn.o_proj,11.09208607673645,0.0078847425756976,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.1.attn.q_proj,11.0882807970047,8.534862637519836,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,2,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.1.attn.v_proj,11.09082007408142,0.0101971625117585,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,1,1,1,1,2,2
transformer_publication_20260622T101458Z_associative_recall_seed101,101,associative_recall,standard,blocks.1.mlp.fc2,11.093569159507751,0.0037236286152619,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.0.attn.k_proj,11.562102675437927,8.910921335220337,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,4,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.0.attn.o_proj,11.528781056404114,0.0023783670912962,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.0.attn.q_proj,11.551049947738647,8.571731328964233,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,4,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.0.attn.v_proj,11.527884244918823,0.0040783549775369,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.0.mlp.fc2,11.496909141540527,0.0016319802816724,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.1.attn.k_proj,11.597318053245544,9.210822939872742,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,4,4,4,8,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.1.attn.o_proj,11.469502329826357,0.0034823332680389,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.1.attn.q_proj,11.540485978126526,8.863489151000977,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,2,2,2,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.1.attn.v_proj,11.57414984703064,0.0057418811484239,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,fixed_update_scale,blocks.1.mlp.fc2,11.560527205467224,0.002489089500159,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.0.attn.k_proj,11.562102675437927,9.05895721912384,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.0.attn.o_proj,11.528781056404114,0.0033727507106959,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.0.attn.q_proj,11.551049947738647,8.68061101436615,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,1,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.0.attn.v_proj,11.527884244918823,0.0057830382720567,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.0.mlp.fc2,11.496909141540527,0.0023834600578993,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.1.attn.k_proj,11.597318053245544,9.19728696346283,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,4,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.1.attn.o_proj,11.469502329826357,0.0052462213207036,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.1.attn.q_proj,11.540485978126526,8.822893261909485,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,2,2,2,8,8
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.1.attn.v_proj,11.57414984703064,0.0084954402409493,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,rslora,blocks.1.mlp.fc2,11.560527205467224,0.0037723950226791,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.0.attn.k_proj,11.562102675437927,9.089614987373352,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,8,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.0.attn.o_proj,11.528781056404114,0.0049957314622588,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.0.attn.q_proj,11.551049947738647,8.756283283233643,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,1,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.0.attn.v_proj,11.527884244918823,0.0083192851161584,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,2,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.0.mlp.fc2,11.496909141540527,0.0035173363867215,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.1.attn.k_proj,11.597318053245544,9.26998221874237,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,4,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.1.attn.o_proj,11.469502329826357,0.0081701283343136,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.1.attn.q_proj,11.540485978126526,8.938775539398193,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,2,2,2,8,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.1.attn.v_proj,11.57414984703064,0.0138354551745578,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,1,1,1,1,2,2
transformer_publication_20260622T101458Z_associative_recall_seed103,103,associative_recall,standard,blocks.1.mlp.fc2,11.560527205467224,0.0056044966331683,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.0.attn.k_proj,11.569479703903198,9.121312499046326,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,8,4,8,8,8
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.0.attn.o_proj,11.612261295318604,0.0031620442459825,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.0.attn.q_proj,11.61677587032318,9.03378701210022,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,2,4,8,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.0.attn.v_proj,11.626186847686768,0.0045129322679713,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.0.mlp.fc2,11.631221055984495,0.0017272262921324,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.1.attn.k_proj,11.662092208862305,9.42077350616455,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,2,2,2,8,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.1.attn.o_proj,11.65969944000244,0.0046708649024367,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.1.attn.q_proj,11.645025968551636,9.389967560768127,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.1.attn.v_proj,11.632758855819702,0.0080781510332599,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,fixed_update_scale,blocks.1.mlp.fc2,11.57316243648529,0.002006807088037,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.0.attn.k_proj,11.569479703903198,9.17822778224945,8,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,4,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.0.attn.o_proj,11.612261295318604,0.004879631625954,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.0.attn.q_proj,11.61677587032318,9.091683506965635,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,8,4,2,4,8,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.0.attn.v_proj,11.626186847686768,0.0067532519460655,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,1,1,1,1,2,2
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.0.mlp.fc2,11.631221055984495,0.002362747240113,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.1.attn.k_proj,11.662092208862305,9.469560623168944,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,8,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.1.attn.o_proj,11.65969944000244,0.0069041264359839,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.1.attn.q_proj,11.645025968551636,9.411613583564758,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.1.attn.v_proj,11.632758855819702,0.0124671485973522,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,rslora,blocks.1.mlp.fc2,11.57316243648529,0.0028216316131874,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.0.attn.k_proj,11.569479703903198,9.503654718399048,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,2,4,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.0.attn.o_proj,11.612261295318604,0.0076754088513553,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.0.attn.q_proj,11.61677587032318,9.196670532226562,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.0.attn.v_proj,11.626186847686768,0.0107188529800623,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,1,1,1,1,2,2
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.0.mlp.fc2,11.631221055984495,0.0033063469163607,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.1.attn.k_proj,11.662092208862305,9.496466636657717,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,2,2,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.1.attn.o_proj,11.65969944000244,0.0107726355781778,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.1.attn.q_proj,11.645025968551636,9.44792652130127,8,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,4,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.1.attn.v_proj,11.632758855819702,0.0193230332806706,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed107,107,associative_recall,standard,blocks.1.mlp.fc2,11.57316243648529,0.0041988014127127,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.0.attn.k_proj,11.588221311569214,9.508682489395142,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.0.attn.o_proj,11.599279403686523,0.0026807418034877,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.0.attn.q_proj,11.60837984085083,8.740585684776306,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.0.attn.v_proj,11.618492722511292,0.0054982395959086,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.0.mlp.fc2,11.57131040096283,0.0018432221695547,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.1.attn.k_proj,11.61188578605652,9.633116006851196,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,16,8,4,8,16,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.1.attn.o_proj,11.571862936019896,0.0049895659903995,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,1,1,1,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.1.attn.q_proj,11.576074123382568,9.49892008304596,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,8,4,2,4,8,8
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.1.attn.v_proj,11.582613468170166,0.0069484346313402,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,2,1,1,1,4,2
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,fixed_update_scale,blocks.1.mlp.fc2,11.612804889678957,0.0019291880453238,16,synthetic_transformer_publication_protocol_v4,True,16.0,4,4.0,4,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.0.attn.k_proj,11.588221311569214,9.521188974380491,8,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,2,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.0.attn.o_proj,11.599279403686523,0.0038393680006265,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,2,2,1,2,4,4
transformer_publication_20260622T101458Z_associative_recall_seed109,109,associative_recall,rslora,blocks.0.attn.q_proj,11.60837984085083,8.774025201797485,16,synthetic_transformer_publication_protocol_v4,False,16.0,4,4.0,16,4,2,4,4,4
