task_family,run,seed,scaling_mode,condition_id,rule,allocation_rule,is_primary_allocation_rule,n_budgets,mean_adaptation_replicates,loss_delta_vs_exact_uniform,acc_delta_vs_exact_uniform,mean_actual_cost
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.017330963682893313,0.011207217261904762,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.01748226956676393,0.011207217261904762,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.024465644891495778,-0.004557291666666666,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,effective_rank,effective_rank,effective_rank,False,7,3.0,0.018392818602608583,0.0011160714285714285,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.0019249475763423185,0.009254092261904762,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.011076759982859672,0.009347098214285714,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.01134202765145649,0.009347098214285714,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,rslora,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.01871171288387683,0.0010695684523809525,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.10852249353774825,0.04194568452380953,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.01398481761030521,0.002976190476190476,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.127662822019331,0.045619419642857144,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.1274917188891864,0.045619419642857144,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed107,107,standard,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.10844388978668058,0.04194568452380953,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.002020649746728371,4.650297619047619e-05,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,-0.005312084480205431,0.010881696428571428,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.017644733332590916,0.01097470238095238,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.017648130784177093,0.01097470238095238,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.02241361224185398,-0.004650297619047618,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.0016830418576968716,4.650297619047619e-05,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,-0.0066813181769075055,0.013253348214285714,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.02253034644742175,0.013253348214285714,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.022535171716299374,0.013253348214285714,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,rslora,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.016464838144505244,0.000744047619047619,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.004334358830029872,4.650297619047619e-05,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.0006949098446750148,0.007486979166666667,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.002454499930276399,0.007672991071428571,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.0024725256988035846,0.007672991071428571,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed109,109,standard,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,0.024715437662269416,-0.004650297619047618,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.024394429393786204,4.650297619047619e-05,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,-0.012463163221019343,0.012416294642857142,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.04802886893836938,0.012648809523809522,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.04801308525860632,0.012648809523809522,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.02435118522165188,4.650297619047619e-05,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.07445729503385899,0.029296875,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,0.0009765212380443725,0.009440104166666668,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.08076846522280469,0.038876488095238096,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.0807705106185278,0.038876488095238096,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,rslora,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.07446682260585172,0.029296875,2633.1428571428573
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,effective_rank,effective_rank,effective_rank,False,7,3.0,-0.08273911208241425,0.03599330357142857,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,gradient_norm,gradient_norm,gradient_norm,False,7,3.0,-0.0069969875995801525,0.012276785714285714,2624.0
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,7,3.0,-0.09031234072851173,0.04868861607142857,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,7,3.0,-0.09037408353192622,0.04868861607142857,2614.8571428571427
associative_recall,transformer_publication_20260622T101458Z_associative_recall_seed113,113,standard,soft_dimension,soft_dimension,soft_dimension,True,7,3.0,-0.08252613340543273,0.03599330357142857,2633.1428571428573
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6,3.0,-0.0034778790457400447,0.004162330905306982,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.018673061669023147,0.00687940802404901,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.0229322011039578,0.005376344086021519,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.028220183696906428,0.006705977569661237,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.004813945891253982,-0.0036998496936061867,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,effective_rank,effective_rank,effective_rank,False,6,3.0,-0.0018625254565398678,0.0028326974216672583,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.017875572169772005,0.007052838478436807,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.018094322590845674,0.003931090299456597,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.02397113524552109,0.0063591166608856645,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,rslora,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.008060827498428774,-0.0035264192392184014,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,effective_rank,effective_rank,effective_rank,False,6,3.0,0.017866398024060808,-0.0051451034801711214,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.011234733468627573,0.001965545149728317,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.01837412492424967,0.0023124060585038944,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.025963378911227398,0.005723204994797108,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed101,101,standard,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.0074333567837749975,-0.004104520753844376,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6,3.0,0.02061048015032094,-0.00838247196207652,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.0005409290514656554,0.006763787721123845,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.031139747596607828,0.0052029136316337305,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.026654381213236142,0.004913862874320771,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.015099513881681202,-0.005665394843334504,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,effective_rank,effective_rank,effective_rank,False,6,3.0,0.017139120747800798,-0.011446409989594156,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.029377911002966915,-0.011619840443981936,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.008867139737772688,-0.005376344086021488,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.003156625723332961,-0.008093421204763529,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,rslora,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,0.018637901512956162,-0.010694878020580431,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,effective_rank,effective_rank,effective_rank,False,6,3.0,0.006384154818094963,-0.0064747369638108844,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.024845905547276993,-0.009480864839865908,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.024535030224344917,-0.0018499248468031426,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,-0.01416705005540229,-0.004451381662619979,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed103,103,standard,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,-0.0006172345783865188,-0.0013296334836397268,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,effective_rank,effective_rank,effective_rank,False,6,3.0,-0.03791342270637555,0.0034686090877558075,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.2115481259685291,-0.06474736963810844,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.010348835956369484,0.027344201641808324,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.07319184157345689,-0.0018499248468030773,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed107,107,fixed_update_scale,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,-0.051742415817049386,0.00982772574864148,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,effective_rank,effective_rank,effective_rank,False,6,3.0,-0.03393303586480409,0.002138975604116078,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,0.35162388887921847,-0.08474968204416695,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,0.09137820317895035,0.005318533934558962,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,marginal_gain_soft,marginal_gain_soft,marginal_gain_soft,False,6,3.0,0.14258879629455976,-0.012082321655682694,2037.3333333333333
modular,transformer_publication_20260622T101458Z_modular_seed107,107,rslora,soft_dimension,soft_dimension,soft_dimension,True,6,3.0,-0.043969416394545456,0.003699849693606212,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,effective_rank,effective_rank,effective_rank,False,6,3.0,-0.07223316615324431,0.009480864839865879,2048.0
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,gradient_norm,gradient_norm,gradient_norm,False,6,3.0,-0.3437693583993213,0.11879986125563648,2026.6666666666667
modular,transformer_publication_20260622T101458Z_modular_seed107,107,standard,marginal_gain_edge,marginal_gain_edge,marginal_gain_edge,False,6,3.0,-0.32459610310461856,0.10868308474968204,2037.3333333333333
